opera_id,dcTitle_opera,dcTitle_persona,column,data
69378,Hippolyte et Aricie,"Rameau, Jean-Philippe",relazione,compositore
69378,Hippolyte et Aricie,"Pellegrin, Simon-Joseph",relazione,librettista
69379,"An der schönen, blauen Donau","Strauss, Johann",relazione,compositore
69380,"Die Ebriden, orch, op. 26, Fingalshöhle","Mendelssohn-Bartholdy, Felix",relazione,compositore
69381,L'Oiseau de feu,"Stravinskij, Igor'",relazione,compositore
69382,"Kaiser-Walzer, orch n. 244, op. 437, trascrizione per pf,cl,2vl,vla,vlc","Strauss, Johann",relazione,compositore
69383,"Sinfonia, Re, Hob.I 101, Die Uhr/The Clock","Haydn, Franz Joseph",relazione,compositore
69384,"Rondò capriccioso, pf, op. 14, Mi","Mendelssohn-Bartholdy, Felix",relazione,compositore
69385,"Prélude à l'aprés-midi d'un faune, orch","Debussy, Claude",relazione,compositore
69386,"Peer Gynt. Prima Suite, orch, op. 46","Grieg, Edvard",relazione,compositore
69387,"Peer Gynt. Seconda Suite , orch, op. 55","Grieg, Edvard",relazione,compositore
69388,Armida,"Rossini, Gioachino",relazione,compositore
69388,Armida,"Schmidt, Giovanni",relazione,librettista
69389,Il barbiere di Siviglia,"Rossini, Gioachino",relazione,compositore
69389,Il barbiere di Siviglia,"Sterbini, Cesare",relazione,librettista
69390,La cambiale di matrimonio,"Rossini, Gioachino",relazione,compositore
69390,La cambiale di matrimonio,"Rossi, Gaetano",relazione,librettista
69391,"Toccata e fuga, org, Re min., BWV 538, {Dorica","Bach, Johann Sebastian",relazione,compositore
69392,Ave Maria,"Schubert, Franz",relazione,compositore
69393,"Quando Diodoro declinò lo sguardo rivelando l'eccentrico oblìo, fl,cl,pf","Garuti, Mario",relazione,compositore
69394,Aida,"Verdi, Giuseppe",relazione,compositore
69394,Aida,"Ghislanzoni, Antonio",relazione,librettista
69394,Aida,"Mariette, Auguste-Ferdinand-François",relazione,testo di
69395,"Non t'amo più!, voce,pf","Tosti, Francesco Paolo",relazione,compositore
69395,"Non t'amo più!, voce,pf","Errico, Carmelo",relazione,librettista
69396,Romance op. 26,"Svendsen, Johann Severin",relazione,compositore
69397,"Il poveretto, voce,pf","Verdi, Giuseppe",relazione,compositore
69397,"Il poveretto, voce,pf","Maggioni, Manfredo",relazione,librettista
69398,"Sinfonia n. 1, op. 21, Do","Beethoven, Ludwig van",relazione,compositore
69399,"Sinfonia n. 3, op. 55, Mib, Eroica","Beethoven, Ludwig van",relazione,compositore
69400,"Sinfonia n. 5, op. 67, Do min.","Beethoven, Ludwig van",relazione,compositore
69401,"Sinfonia n. 6, op. 68, Fa, Pastorale","Beethoven, Ludwig van",relazione,compositore
69402,"Sinfonia n. 7, op. 92, La","Beethoven, Ludwig van",relazione,compositore
69403,"Sinfonia n. 8, op. 93, Fa, «Sinfonia Linz nel mese di ottobre 1812»","Beethoven, Ludwig van",relazione,compositore
69404,"Sinfonia n. 5 (9), op. 95, Mi min., B 178, {Dal nuovo mondo","Dvorák, Antonín",relazione,compositore
69405,"Concerto brandeburghese n. 1, Fa, BWV 1046","Bach, Johann Sebastian",relazione,compositore
69406,"Concerto brandeburghese n. 2, Fa, BWV 1047","Bach, Johann Sebastian",relazione,compositore
69407,"Concerto brandeburghese n. 4, Sol, BWV 1049","Bach, Johann Sebastian",relazione,compositore
69408,"Concerto brandeburghese n. 5, Re, BWV 1050","Bach, Johann Sebastian",relazione,compositore
69409,"Concerto brandeburghese n. 6, Sib, BWV 1051","Bach, Johann Sebastian",relazione,compositore
69410,"Sonata quasi una fantasia, pf n. 2, op. 27, Do# min., Al chiaro di luna","Beethoven, Ludwig van",relazione,compositore
69411,"Tragische Ouvertüre, op. 81, in Re min.","Brahms, Johannes",relazione,compositore
69412,"Sonata (con il Rondò «Alla turca»), pf, La, K 331","Mozart, Wolfgang Amadeus",relazione,compositore
69413,"Gavotta, Re min., K 64","Scarlatti, Domenico",relazione,compositore
69414,La Cenerentola ossia la bontà in trionfo,"Rossini, Gioachino",relazione,compositore
69414,La Cenerentola ossia la bontà in trionfo,"Ferretti, Jacopo",relazione,librettista
69415,La donna del lago,"Rossini, Gioachino",relazione,compositore
69415,La donna del lago,"Tottola, Leone Andrea",relazione,librettista
69416,La gazza ladra,"Rossini, Gioachino",relazione,compositore
69416,La gazza ladra,"Gherardini, Giovanni",relazione,librettista
69417,Guglielmo Tell,"Rossini, Gioachino",relazione,compositore
69417,Guglielmo Tell,"Jouy, Victor-Joseph Étienne de",relazione,librettista
69417,Guglielmo Tell,"Bis, Hippolyte-Louis-Florent",relazione,librettista
69418,L'inganno felice,"Rossini, Gioachino",relazione,compositore
69418,L'inganno felice,"Foppa, Giuseppe Maria",relazione,librettista
69419,L'Italiana in Algeri,"Rossini, Gioachino",relazione,compositore
69419,L'Italiana in Algeri,"Anelli, Angelo",relazione,librettista
69420,"Petite messe solennelle, soli,coro,harm,2pf","Rossini, Gioachino",relazione,compositore
69421,La scala di seta,"Rossini, Gioachino",relazione,compositore
69421,La scala di seta,"Foppa, Giuseppe Maria",relazione,librettista
69422,Il Signor Bruschino ossia Il figlio per azzardo,"Rossini, Gioachino",relazione,compositore
69422,Il Signor Bruschino ossia Il figlio per azzardo,"Foppa, Giuseppe Maria",relazione,librettista
69423,Il Trovatore,"Verdi, Giuseppe",relazione,compositore
69423,Il Trovatore,"Cammarano, Salvatore",relazione,librettista
69423,Il Trovatore,"Gutiérrez, Antonio García",relazione,testo di
69424,Otello,"Boito, Arrigo",relazione,librettista
69424,Otello,"Verdi, Giuseppe",relazione,compositore
69424,Otello,"Shakespeare, William",relazione,testo di
69425,Falstaff,"Boito, Arrigo",relazione,librettista
69425,Falstaff,"Verdi, Giuseppe",relazione,compositore
69425,Falstaff,"Shakespeare, William",relazione,testo di
69426,"Messa da Requiem, soli,coro,orch","Verdi, Giuseppe",relazione,compositore
69427,"Exultate, jubilate, sp,orch, Fa, K 165","Mozart, Wolfgang Amadeus",relazione,compositore
69428,"Ah, perfido!... Per pietà","Beethoven, Ludwig van",relazione,compositore
69429,Tancredi,"Rossini, Gioachino",relazione,compositore
69429,Tancredi,"Rossi, Gaetano",relazione,librettista
69430,Il turco in Italia,"Rossini, Gioachino",relazione,compositore
69430,Il turco in Italia,"Romani, Felice",relazione,librettista
69431,Samson et Dalila,"Lemaire, Ferdinand",relazione,librettista
69431,Samson et Dalila,"Saint-Saëns, Camille",relazione,compositore
69432,"Sei romanze, voce,pf","Verdi, Giuseppe",relazione,compositore
69433,"Inno delle nazioni, tn,coro,orch","Boito, Arrigo",relazione,librettista
69433,"Inno delle nazioni, tn,coro,orch","Verdi, Giuseppe",relazione,compositore
69434,Alzira,"Verdi, Giuseppe",relazione,compositore
69434,Alzira,"Cammarano, Salvatore",relazione,librettista
69434,Alzira,Voltaire,relazione,testo di
69435,Quattro Pezzi sacri,"Verdi, Giuseppe",relazione,compositore
69436,Giovanna d'Arco,"Verdi, Giuseppe",relazione,compositore
69436,Giovanna d'Arco,"Solera, Temistocle",relazione,librettista
69436,Giovanna d'Arco,"Schiller, Friedrich",relazione,testo di
69437,"Fantasia, pf,soli,coro,orch, op. 80, Do min.","Beethoven, Ludwig van",relazione,compositore
69438,Le Vêpres siciliennes / I vespri siciliani,"Verdi, Giuseppe",relazione,compositore
69438,Le Vêpres siciliennes / I vespri siciliani,"Scribe, Eugène",relazione,librettista
69438,Le Vêpres siciliennes / I vespri siciliani,"Duveyrier, Charles",relazione,librettista
69439,"Märchenerzählungen, cl,vla,pf, op. 132","Schumann, Robert",relazione,compositore
69440,"Hommage à R. Sch., cl,vla,pf, op. 15/d","Kurtág, György",relazione,compositore
69441,"Vox balenae, fl,vlc,pf amplif","Crumb, George",relazione,compositore
69442,"Gottes Zeit ist die allerbeste Zeit «Actus tragicus», sp,ct,tn,bs,coro,2fl,2vle da gamba,cont, BWV 106","Bach, Johann Sebastian",relazione,compositore
69443,Messe de Nostre Dame,"Machault, Guillaume de",relazione,compositore
69444,"Tod und Verklärung / Morte e trasfigurazione, op. 24","Strauss, Richard",relazione,compositore
69445,"Sinfonia n. 1, op. 68, Do min.","Brahms, Johannes",relazione,compositore
69446,"The Rake's Progress / La carriera del libertino, op. 5","Stravinskij, Igor'",relazione,compositore
69446,"The Rake's Progress / La carriera del libertino, op. 5","Auden, Wystan Hugh",relazione,librettista
69446,"The Rake's Progress / La carriera del libertino, op. 5","Kallman, Chester",relazione,librettista
69447,Attila,"Verdi, Giuseppe",relazione,compositore
69447,Attila,"Solera, Temistocle",relazione,librettista
69447,Attila,"Werner, Zacharias",relazione,testo di
69448,"Pavane pour une infante défunte, pf","Ravel, Maurice",relazione,compositore
69449,"Sonatine, pf","Ravel, Maurice",relazione,compositore
69450,"Preludes, pf","Gershwin, George",relazione,compositore
69451,"Masques, pf","Debussy, Claude",relazione,compositore
69452,"Estampes, pf","Debussy, Claude",relazione,compositore
69453,"Sonata, pf n. 3, op. 5, Fa min., B.W. XIII, 55","Brahms, Johannes",relazione,compositore
69454,"Concerto, vlc,orch, op. 129, La min.","Schumann, Robert",relazione,compositore
69455,"Sinfonia, orch n. 5, Do# min.","Mahler, Gustav",relazione,compositore
69456,Hollywood,"Togni, Gianni",relazione,compositore
69456,Hollywood,"Morra, Guido",relazione,librettista
69457,"Sinfonia, orch n. 5, Sib","Bruckner, Anton",relazione,compositore
69458,"Sinfonia, orch n. 40, Sol min., K 550","Mozart, Wolfgang Amadeus",relazione,compositore
69459,24 Préludes op. 28,"Chopin, Fryderyk",relazione,compositore
69460,Douze Études: I libro,"Debussy, Claude",relazione,compositore
69461,Douze Etudes: II libro,"Debussy, Claude",relazione,compositore
69462,"Gaspard de la nuit, pf","Ravel, Maurice",relazione,compositore
69462,"Gaspard de la nuit, pf","Bertrand, Aloysius",relazione,testo di
69463,Il trionfo della grazia ovvero La conversione di S. Maddalena,"Scarlatti, Alessandro",relazione,compositore
69464,"Die Verklärte Nacht / La notte trasfigurata, 2vl,2vla,2vcl, op. 4","Schönberg, Arnold",relazione,compositore
69465,"Gurrelieder, sp,ms,2tn,bs,cori,orch","Schönberg, Arnold",relazione,compositore
69466,"Sonata, vl,pf n. 1, op. 80, Fa min.","Prokof'ev, Sergej",relazione,compositore
69467,3 Romanze,"Schumann, Clara Josephine",relazione,compositore
69468,"Sonata, vl,pf n. 3, op. 108, Re min.","Brahms, Johannes",relazione,compositore
69469,"Voices, archi","Vasks, Peteris",relazione,compositore
69470,Aria mit verschiedenen Veränderungen (Variazioni Goldberg),"Bach, Johann Sebastian",relazione,compositore
69471,"Concerto, cemb,archi,cn, Mi, BWV 1053","Bach, Johann Sebastian",relazione,compositore
69472,"Passion secundum Johannem / Passione secondo Giovanni, soli,coro,orch, BWV 245, Johannes-Passion","Bach, Johann Sebastian",relazione,compositore
69473,"Ouverture (Suite per orchestra) n. 3, Re, BWV 1068","Bach, Johann Sebastian",relazione,compositore
69474,"Ouverture (Suite per orchestra) n. 1, Do, BWV 1066","Bach, Johann Sebastian",relazione,compositore
69475,"Partita n. 1, Sib, BWV 825","Bach, Johann Sebastian",relazione,compositore
69476,"Concerto brandeburghese n. 3, Sol, BWV 1048","Bach, Johann Sebastian",relazione,compositore
69477,"Concerto, vl,cemb,archi","Balakauskas, Osvaldas",relazione,compositore
69478,Darf ich,"Pärt, Arvo",relazione,compositore
69479,"Musikalisches Opfer / L'offerta musicale, BWV 1079","Bach, Johann Sebastian",relazione,compositore
69480,La Traviata,"Verdi, Giuseppe",relazione,compositore
69480,La Traviata,"Piave, Francesco Maria",relazione,librettista
69481,"Sonata, pf n. 1, op. 1, Do","Brahms, Johannes",relazione,compositore
69482,"Frammenti poetici di Marina Cvetaeva, sp,vl,cor,pf","Gentilucci, Armando",relazione,compositore
69483,"Quattro versi di Marina Cvetaeva, vl,sp","Manzoni, Giacomo",relazione,compositore
69484,"Perdo il futuro della tua grazia. Trio, fl,vl,percuss,sp,vr n. 5","Guarnieri, Adriano",relazione,compositore
69485,"E chi è passato resta per memoria, pf,cb,sp","Razzi, Fausto",relazione,compositore
69486,"Sonata, pf, Sol","Salieri, Antonio",relazione,compositore
69487,Night and day,"Porter, Cole",relazione,compositore
69488,"Trio, pf,vl,vlc, La, Hob.XV 18","Haydn, Franz Joseph",relazione,compositore
69489,"Sonata a quattro, archi","Paisiello, Giovanni",relazione,compositore
69490,"Rinaldo, HWV 7a","Händel, Georg Friedrich",relazione,compositore
69490,"Rinaldo, HWV 7a","Rossi, Giacomo",relazione,librettista
69490,"Rinaldo, HWV 7a","Hill, Aaron",relazione,librettista
69491,"Concerto, archi,bc n. 11, op. 38, Sol min., RV 157","Vivaldi, Antonio",relazione,compositore
69492,Pelléas et Mélisande,"Debussy, Claude",relazione,compositore
69492,Pelléas et Mélisande,"Maeterlinck, Maurice-Polydore-Marie-Bernard",relazione,librettista
69493,Giù la testa,"Morricone, Ennio",relazione,compositore
69494,C'era una volta il West,"Morricone, Ennio",relazione,compositore
69495,And I love her,"Lennon, John",relazione,compositore
69495,And I love her,"McCartney, Paul",relazione,compositore
69496,La Ronda,"Rota, Nino",relazione,compositore
69497,"Trio, vl,vlc,pf, op. 67, La min.","Ravel, Maurice",relazione,compositore
