,opera_id,dcTitle_opera,autori
194,69506,Happy End,"Weill, Kurt: compositore"
195,69507,Candide,"Bernstein, Leonard: compositore, Wilbur, Richard: librettista, Voltaire: testo di"
196,69508,"Kammerkonzert, pf,vl,13fiati","Berg, Alban: compositore"
197,69509,"Sei Lieder, voce,strumenti, op. 14","Webern, Anton: compositore, Trakl, Georg: librettista"
198,69510,"Cinque Canoni, sp,cl,cl b, op. 16","Webern, Anton: compositore"
199,69511,"Tre Canti popolari, voce,cl,cl basso,vl(o vla), op. 17","Webern, Anton: compositore"
200,69512,"Ottetto, cl,fag,cor,2vl,vla,vlc,cb, op. 166, Fa, D 803","Schubert, Franz: compositore"
201,69513,El retablo de Maese Pedro / Il teatrino di Mastro Pedro,"Cervantes, Miguel de: testo di, De Falla, Manuel: compositore"
202,69514,"Divertimento, 2vl,vla,bs, Sib, K 137","Mozart, Wolfgang Amadeus: compositore"
203,69515,"Concerto, fl,ob,archi, Sol","Salieri, Antonio: compositore"
204,69516,"Concerto, fl,archi n. 7, Mi min.","Devienne, Francois: compositore"
205,69517,"Sinfonia, orch, La, K 201","Mozart, Wolfgang Amadeus: compositore"
206,69518,Adagio e fuga,"Mozart, Wolfgang Amadeus: compositore"
207,69519,"Quartetto, archi, Re min., K 421","Mozart, Wolfgang Amadeus: compositore"
208,69520,"Quartetto, archi n. 19, Do, K 465, Dissonanzen-quartett","Mozart, Wolfgang Amadeus: compositore"
209,69521,"Fragmente-stille, an Diotima, archi","Nono, Luigi: compositore"
210,69522,"Officium breve, archi, op. 28","Kurtág, György: compositore"
211,69523,"Quartetto, archi n. 5","Bartók, Béla: compositore"
212,69524,"Sonata, vla,pf, Do min.","Mendelssohn-Bartholdy, Felix: compositore"
213,69525,"Sonata, vla,pf, op. 147","Šostakovič, Dmitrij: compositore"
214,69526,Il cordovano,"Cervantes, Miguel de: testo di, Petrassi, Goffredo: compositore, Montale, Eugenio: testo di"
215,69527,"Litaniae de venerabili altaris sacramento, Mib, K 243","Mozart, Wolfgang Amadeus: compositore"
216,69528,"Sonata, pf, La min., K 310","Mozart, Wolfgang Amadeus: compositore"
217,69529,"Sonata, pf n. 3, op. 31, Mib, La Chasse","Beethoven, Ludwig van: compositore"
218,69530,"Quattro Ballate, op. 10","Brahms, Johannes: compositore"
219,69531,"Allegro, pf, op. 8","Schumann, Robert: compositore"
220,69532,"Die Schöne Müllerin / La bella mugnaia, br,pf, op. 25, D 795","Schubert, Franz: compositore"
221,69533,"Sinfonia, orch n. 3, op. 97, Mib, Renana","Schumann, Robert: compositore"
222,69534,"Sinfonia, orch n. 9, Re","Mahler, Gustav: compositore"
