"id";"fullpath";"published";"dcTitle";"dcDescription";"from";"to";"datetext";"Luogo rappresentazione";"Enti collegati";"Persone collegate";"Recite collegate";"Opere musicali collegate"
"54965";"/Produzioni/1976 Halka (54965)";"1";"Halka";"";"1976-01-01";"1976-01-31";"1976";"[]";"[
    {
        ""Identificativo"": 18707,
        ""Nome"": ""Teatro Nazionale dell'Opera di Poznan"",
        ""Ruolo"": ""produzione""
    }
]";"[
    {
        ""Identificativo"": 18706,
        ""Nome"": ""Zerdzicki, Slawomir"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 59464,
        ""Nome"": ""Halka"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 71277,
        ""Nome"": ""Halka"",
        ""Ruolo"": """"
    }
]"
"54966";"/Produzioni/1976 Kovancina (54966)";"1";"Kovancina";"";"1976-01-01";"1976-01-31";"1976";"[]";"[
    {
        ""Identificativo"": 18707,
        ""Nome"": ""Teatro Nazionale dell'Opera di Poznan"",
        ""Ruolo"": ""produzione""
    }
]";"[
    {
        ""Identificativo"": 18706,
        ""Nome"": ""Zerdzicki, Slawomir"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 59465,
        ""Nome"": ""Kovancina"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 71028,
        ""Nome"": ""Kovancina"",
        ""Ruolo"": """"
    }
]"
"54967";"/Produzioni/1976 Tristano e Isotta (54967)";"1";"Tristano e Isotta";"";"1976-01-01";"1976-01-31";"1976";"[]";"[
    {
        ""Identificativo"": 30359,
        ""Nome"": ""Teatro dell'Opera di Stoccarda"",
        ""Ruolo"": ""costumi,scene""
    }
]";"[
    {
        ""Identificativo"": 18708,
        ""Nome"": ""Windgassen, Wolfgang"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 59466,
        ""Nome"": ""Tristano e Isotta"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 71076,
        ""Nome"": ""Tristan und Isolde, WWV 90"",
        ""Ruolo"": """"
    }
]"
"54968";"/Produzioni/La sagra della primavera (54968)";"1";"La sagra della primavera";"Shen Wei Dance Arts (EN-)";"";"";"";"[]";"[
    {
        ""Identificativo"": 18742,
        ""Nome"": ""Shen Wei Dance Arts"",
        ""Ruolo"": ""produzione""
    }
]";"[
    {
        ""Identificativo"": 18744,
        ""Nome"": ""Ferri, David"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 18741,
        ""Nome"": ""Wei, Shen"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 59467,
        ""Nome"": ""Shen Wei Dance Arts"",
        ""Ruolo"": """"
    }
]";"[]"
"54969";"/Produzioni/2001 Behind Resonance (54969)";"1";"Behind Resonance";"";"2001-01-01";"2001-01-31";"2001";"[]";"[
    {
        ""Identificativo"": 18742,
        ""Nome"": ""Shen Wei Dance Arts"",
        ""Ruolo"": ""produzione""
    }
]";"[
    {
        ""Identificativo"": 18741,
        ""Nome"": ""Wei, Shen"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 18744,
        ""Nome"": ""Ferri, David"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 59467,
        ""Nome"": ""Shen Wei Dance Arts"",
        ""Ruolo"": """"
    }
]";"[]"
"54970";"/Produzioni/1975 Bajadera (54970)";"1";"Bajadera";"";"1975-01-01";"1975-01-31";"1975";"[]";"[
    {
        ""Identificativo"": 30358,
        ""Nome"": ""Teatro Nazionale dell'Opera di Praga"",
        ""Ruolo"": ""produzione""
    }
]";"[
    {
        ""Identificativo"": 15357,
        ""Nome"": ""Bubenik, Kvetoslav"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 15358,
        ""Nome"": ""Hirschova, Jindriska"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 59468,
        ""Nome"": ""Paquita.\r\nIl balletto classico nel periodo romantico"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 59469,
        ""Nome"": ""Paquita. \r\nIl balletto classico nel periodo romantico"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 63207,
        ""Nome"": ""Paquita.\r\nIl balletto classico nel periodo romantico"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 63208,
        ""Nome"": ""Paquita.\r\nIl balletto classico nel periodo romantico"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 63209,
        ""Nome"": ""Paquita.\r\nIl balletto classico nel periodo romantico"",
        ""Ruolo"": """"
    }
]";"[]"
"54971";"/Produzioni/1974 Coppelia (54971)";"1";"Coppelia";"";"1974-01-01";"1974-01-31";"1974";"[]";"[
    {
        ""Identificativo"": 30358,
        ""Nome"": ""Teatro Nazionale dell'Opera di Praga"",
        ""Ruolo"": ""produzione""
    }
]";"[
    {
        ""Identificativo"": 15358,
        ""Nome"": ""Hirschova, Jindriska"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 15357,
        ""Nome"": ""Bubenik, Kvetoslav"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 59468,
        ""Nome"": ""Paquita.\r\nIl balletto classico nel periodo romantico"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 59469,
        ""Nome"": ""Paquita. \r\nIl balletto classico nel periodo romantico"",
        ""Ruolo"": """"
    }
]";"[]"
"54972";"/Produzioni/Passo a quattro (54972)";"1";"Passo a quattro";"Teatro Nazionale dell&#39;Opera di Praga (EN-)";"";"";"";"[]";"[
    {
        ""Identificativo"": 30358,
        ""Nome"": ""Teatro Nazionale dell'Opera di Praga"",
        ""Ruolo"": ""produzione""
    }
]";"[
    {
        ""Identificativo"": 15358,
        ""Nome"": ""Hirschova, Jindriska"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 15357,
        ""Nome"": ""Bubenik, Kvetoslav"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 59468,
        ""Nome"": ""Paquita.\r\nIl balletto classico nel periodo romantico"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 59469,
        ""Nome"": ""Paquita. \r\nIl balletto classico nel periodo romantico"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 63207,
        ""Nome"": ""Paquita.\r\nIl balletto classico nel periodo romantico"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 63208,
        ""Nome"": ""Paquita.\r\nIl balletto classico nel periodo romantico"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 63209,
        ""Nome"": ""Paquita.\r\nIl balletto classico nel periodo romantico"",
        ""Ruolo"": """"
    }
]";"[]"
"54973";"/Produzioni/Paquita (54973)";"1";"Paquita";"Teatro Nazionale dell&#39;Opera di Praga (EN-)";"";"";"";"[]";"[
    {
        ""Identificativo"": 30358,
        ""Nome"": ""Teatro Nazionale dell'Opera di Praga"",
        ""Ruolo"": ""produzione""
    }
]";"[
    {
        ""Identificativo"": 15358,
        ""Nome"": ""Hirschova, Jindriska"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 15357,
        ""Nome"": ""Bubenik, Kvetoslav"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 59468,
        ""Nome"": ""Paquita.\r\nIl balletto classico nel periodo romantico"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 59469,
        ""Nome"": ""Paquita. \r\nIl balletto classico nel periodo romantico"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 63207,
        ""Nome"": ""Paquita.\r\nIl balletto classico nel periodo romantico"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 63208,
        ""Nome"": ""Paquita.\r\nIl balletto classico nel periodo romantico"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 63209,
        ""Nome"": ""Paquita.\r\nIl balletto classico nel periodo romantico"",
        ""Ruolo"": """"
    }
]";"[]"
"54974";"/Produzioni/1974 Il Corsaro: Pas de deux (54974)";"1";"Il Corsaro: Pas de deux";"";"1974-01-01";"1974-01-31";"1974";"[]";"[
    {
        ""Identificativo"": 30358,
        ""Nome"": ""Teatro Nazionale dell'Opera di Praga"",
        ""Ruolo"": ""produzione""
    }
]";"[
    {
        ""Identificativo"": 15357,
        ""Nome"": ""Bubenik, Kvetoslav"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 15358,
        ""Nome"": ""Hirschova, Jindriska"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 59468,
        ""Nome"": ""Paquita.\r\nIl balletto classico nel periodo romantico"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 59469,
        ""Nome"": ""Paquita. \r\nIl balletto classico nel periodo romantico"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 63207,
        ""Nome"": ""Paquita.\r\nIl balletto classico nel periodo romantico"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 63208,
        ""Nome"": ""Paquita.\r\nIl balletto classico nel periodo romantico"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 63209,
        ""Nome"": ""Paquita.\r\nIl balletto classico nel periodo romantico"",
        ""Ruolo"": """"
    }
]";"[]"
"54975";"/Produzioni/Suite coreografica (54975)";"1";"Suite coreografica";"Balletto Accademico di Stato dell&#39;U.R.S.S. (EN-)";"";"";"";"[]";"[
    {
        ""Identificativo"": 30361,
        ""Nome"": ""Balletto Accademico di Stato dell'URSS"",
        ""Ruolo"": ""produzione""
    }
]";"[
    {
        ""Identificativo"": 18759,
        ""Nome"": ""Bertelman, Oleg"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 59470,
        ""Nome"": ""Balletto Accademico di Stato dell'URSS"",
        ""Ruolo"": """"
    }
]";"[]"
"54976";"/Produzioni/Studio quadro (54976)";"1";"Studio quadro";"Balletto Accademico di Stato dell&#39;U.R.S.S. (EN-)";"";"";"";"[]";"[
    {
        ""Identificativo"": 30361,
        ""Nome"": ""Balletto Accademico di Stato dell'URSS"",
        ""Ruolo"": ""produzione""
    }
]";"[
    {
        ""Identificativo"": 18759,
        ""Nome"": ""Bertelman, Oleg"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 59470,
        ""Nome"": ""Balletto Accademico di Stato dell'URSS"",
        ""Ruolo"": """"
    }
]";"[]"
"54977";"/Produzioni/Poema di Alfeo e Aretusa (54977)";"1";"Poema di Alfeo e Aretusa";"Balletto Accademico di Stato dell&#39;U.R.S.S. (EN-)";"";"";"";"[]";"[
    {
        ""Identificativo"": 30361,
        ""Nome"": ""Balletto Accademico di Stato dell'URSS"",
        ""Ruolo"": ""produzione""
    }
]";"[
    {
        ""Identificativo"": 18759,
        ""Nome"": ""Bertelman, Oleg"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 59470,
        ""Nome"": ""Balletto Accademico di Stato dell'URSS"",
        ""Ruolo"": """"
    }
]";"[]"
"54978";"/Produzioni/1975 Incontro (54978)";"1";"Incontro";"";"1975-01-01";"1975-01-31";"1975";"[]";"[
    {
        ""Identificativo"": 30361,
        ""Nome"": ""Balletto Accademico di Stato dell'URSS"",
        ""Ruolo"": ""produzione""
    }
]";"[
    {
        ""Identificativo"": 18759,
        ""Nome"": ""Bertelman, Oleg"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 59470,
        ""Nome"": ""Balletto Accademico di Stato dell'URSS"",
        ""Ruolo"": """"
    }
]";"[]"
"54979";"/Produzioni/1899 Le Corsaire - Il Corsaro: Pas de deux (54979)";"1";"Le Corsaire / Il Corsaro: Pas de deux";"";"1899-01-01";"1899-01-31";"1899";"[]";"[
    {
        ""Identificativo"": 30361,
        ""Nome"": ""Balletto Accademico di Stato dell'URSS"",
        ""Ruolo"": ""produzione""
    }
]";"[
    {
        ""Identificativo"": 18759,
        ""Nome"": ""Bertelman, Oleg"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 59470,
        ""Nome"": ""Balletto Accademico di Stato dell'URSS"",
        ""Ruolo"": """"
    }
]";"[]"
"54980";"/Produzioni/Poema (54980)";"1";"Poema";"Balletto Accademico di Stato dell&#39;U.R.S.S. (EN-)";"";"";"";"[]";"[
    {
        ""Identificativo"": 30361,
        ""Nome"": ""Balletto Accademico di Stato dell'URSS"",
        ""Ruolo"": ""produzione""
    }
]";"[
    {
        ""Identificativo"": 19464,
        ""Nome"": ""Kotovy, A."",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 59470,
        ""Nome"": ""Balletto Accademico di Stato dell'URSS"",
        ""Ruolo"": """"
    }
]";"[]"
"54981";"/Produzioni/Lo Schiaccianoci (54981)";"1";"Lo Schiaccianoci";"Balletto Accademico di Stato dell&#39;U.R.S.S. (EN-)";"";"";"";"[]";"[
    {
        ""Identificativo"": 30361,
        ""Nome"": ""Balletto Accademico di Stato dell'URSS"",
        ""Ruolo"": ""produzione""
    }
]";"[
    {
        ""Identificativo"": 18759,
        ""Nome"": ""Bertelman, Oleg"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 59470,
        ""Nome"": ""Balletto Accademico di Stato dell'URSS"",
        ""Ruolo"": """"
    }
]";"[]"
"54982";"/Produzioni/1974 Contrasti (54982)";"1";"Contrasti";"";"1974-01-01";"1974-01-31";"1974";"[]";"[
    {
        ""Identificativo"": 30361,
        ""Nome"": ""Balletto Accademico di Stato dell'URSS"",
        ""Ruolo"": ""produzione""
    }
]";"[
    {
        ""Identificativo"": 18759,
        ""Nome"": ""Bertelman, Oleg"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 59470,
        ""Nome"": ""Balletto Accademico di Stato dell'URSS"",
        ""Ruolo"": """"
    }
]";"[]"
"54983";"/Produzioni/1974 Hoppak (54983)";"1";"Hoppak";"";"1974-01-01";"1974-01-31";"1974";"[]";"[
    {
        ""Identificativo"": 30361,
        ""Nome"": ""Balletto Accademico di Stato dell'URSS"",
        ""Ruolo"": ""produzione""
    }
]";"[
    {
        ""Identificativo"": 18759,
        ""Nome"": ""Bertelman, Oleg"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 59470,
        ""Nome"": ""Balletto Accademico di Stato dell'URSS"",
        ""Ruolo"": """"
    }
]";"[]"
"54984";"/Produzioni/1974 Chiaro di luna (54984)";"1";"Chiaro di luna";"";"1974-01-01";"1974-01-31";"1974";"[]";"[
    {
        ""Identificativo"": 30361,
        ""Nome"": ""Balletto Accademico di Stato dell'URSS"",
        ""Ruolo"": ""produzione""
    }
]";"[
    {
        ""Identificativo"": 18759,
        ""Nome"": ""Bertelman, Oleg"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 59470,
        ""Nome"": ""Balletto Accademico di Stato dell'URSS"",
        ""Ruolo"": """"
    }
]";"[]"
"54985";"/Produzioni/1974 Giovani voci (54985)";"1";"Giovani voci";"";"1974-01-01";"1974-01-31";"1974";"[]";"[
    {
        ""Identificativo"": 30361,
        ""Nome"": ""Balletto Accademico di Stato dell'URSS"",
        ""Ruolo"": ""produzione""
    }
]";"[
    {
        ""Identificativo"": 18759,
        ""Nome"": ""Bertelman, Oleg"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 59470,
        ""Nome"": ""Balletto Accademico di Stato dell'URSS"",
        ""Ruolo"": """"
    }
]";"[]"
"54986";"/Produzioni/1975 Adagio (54986)";"1";"Adagio";"";"1975-01-01";"1975-01-31";"1975";"[]";"[
    {
        ""Identificativo"": 30361,
        ""Nome"": ""Balletto Accademico di Stato dell'URSS"",
        ""Ruolo"": ""produzione""
    }
]";"[
    {
        ""Identificativo"": 18759,
        ""Nome"": ""Bertelman, Oleg"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 59470,
        ""Nome"": ""Balletto Accademico di Stato dell'URSS"",
        ""Ruolo"": """"
    }
]";"[]"
"54987";"/Produzioni/1974 Don Chisciotte (54987)";"1";"Don Chisciotte";"";"1974-01-01";"1974-01-31";"1974";"[]";"[
    {
        ""Identificativo"": 30361,
        ""Nome"": ""Balletto Accademico di Stato dell'URSS"",
        ""Ruolo"": ""produzione""
    }
]";"[
    {
        ""Identificativo"": 18759,
        ""Nome"": ""Bertelman, Oleg"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 59470,
        ""Nome"": ""Balletto Accademico di Stato dell'URSS"",
        ""Ruolo"": """"
    }
]";"[]"
"54988";"/Produzioni/Giselle (54988)";"1";"Giselle";"";"";"";"";"[]";"[]";"[
    {
        ""Identificativo"": 13879,
        ""Nome"": ""Menegatti, Beppe"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 13935,
        ""Nome"": ""Anni, Anna"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 59471,
        ""Nome"": ""Giselle"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 59472,
        ""Nome"": ""Giselle"",
        ""Ruolo"": """"
    }
]";"[]"
"54989";"/Produzioni/1974 Fidelio (54989)";"1";"Fidelio";"";"1974-01-01";"1974-01-31";"1974";"[]";"[]";"[
    {
        ""Identificativo"": 18775,
        ""Nome"": ""Kaslik, Vaclav"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 18776,
        ""Nome"": ""Mullerova, Helena"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 15357,
        ""Nome"": ""Bubenik, Kvetoslav"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 59474,
        ""Nome"": ""Fidelio"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 59473,
        ""Nome"": ""Fidelio"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 62925,
        ""Nome"": ""Fidelio"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 69311,
        ""Nome"": ""Fidelio, op. 72b"",
        ""Ruolo"": """"
    }
]"
"54990";"/Produzioni/1975 Così fan tutte (54990)";"1";"Così fan tutte";"";"1975-01-01";"1975-01-10";"1975";"[]";"[]";"[
    {
        ""Identificativo"": 18398,
        ""Nome"": ""Jernek, Karel"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 18783,
        ""Nome"": ""Filipi, Olga"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 15357,
        ""Nome"": ""Bubenik, Kvetoslav"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 59477,
        ""Nome"": ""Così fan tutte"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 59475,
        ""Nome"": ""Così fan tutte"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 63206,
        ""Nome"": ""Così fan tutte"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 69351,
        ""Nome"": ""Così fan tutte ossia La scuola degli amanti, K 588"",
        ""Ruolo"": """"
    }
]"
"54991";"/Produzioni/1975 Lucia di Lammermoor (54991)";"1";"Lucia di Lammermoor";"";"1975-02-07";"1975-02-07";"1975";"[
    {
        ""Id"": 1911,
        ""nome"": ""Reggio Emilia"",
        ""relazione"": ""luogo della prima rappresentazione/esecuzione""
    },
    {
        ""Id"": 8713,
        ""nome"": ""Teatro Municipale"",
        ""relazione"": ""edificio della prima rappresentazione/esecuzione""
    }
]";"[
    {
        ""Identificativo"": 32571,
        ""Nome"": ""Teatro Municipale di Reggio Emilia"",
        ""Ruolo"": ""produzione""
    }
]";"[
    {
        ""Identificativo"": 18785,
        ""Nome"": ""Frusca, Renzo"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 15812,
        ""Nome"": ""Fregni, Koki"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 59478,
        ""Nome"": ""Lucia di Lammermoor"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 59479,
        ""Nome"": ""Lucia di Lammermoor"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 69331,
        ""Nome"": ""Lucia di Lammermoor"",
        ""Ruolo"": """"
    }
]"
"54992";"/Produzioni/1974 La bohème (54992)";"1";"La bohème";"";"1974-01-01";"1974-12-31";"1974";"[]";"[
    {
        ""Identificativo"": 29672,
        ""Nome"": ""Teatro Regio di Parma"",
        ""Ruolo"": ""produzione""
    }
]";"[
    {
        ""Identificativo"": 10653,
        ""Nome"": ""De Tomasi, Beppe"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 18786,
        ""Nome"": ""Villagrossi, Ferruccio"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 59480,
        ""Nome"": ""La bohème"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 59481,
        ""Nome"": ""La bohème"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 69366,
        ""Nome"": ""La bohème"",
        ""Ruolo"": """"
    }
]"
"54993";"/Produzioni/1975 Il barbiere di Siviglia (54993)";"1";"Il barbiere di Siviglia";"";"1975-03-08";"1975-03-08";"1975";"[
    {
        ""Id"": 1911,
        ""nome"": ""Reggio Emilia"",
        ""relazione"": ""luogo della prima rappresentazione/esecuzione""
    },
    {
        ""Id"": 8713,
        ""nome"": ""Teatro Municipale"",
        ""relazione"": ""edificio della prima rappresentazione/esecuzione""
    }
]";"[
    {
        ""Identificativo"": 32571,
        ""Nome"": ""Teatro Municipale di Reggio Emilia"",
        ""Ruolo"": ""produzione""
    }
]";"[
    {
        ""Identificativo"": 16849,
        ""Nome"": ""Trionfo, Aldo"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 18705,
        ""Nome"": ""Panni, Giorgio"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 59483,
        ""Nome"": ""Il barbiere di Siviglia ossia La precauzione inutile"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 59484,
        ""Nome"": ""Il barbiere di Siviglia ossia La precauzione inutile"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 59482,
        ""Nome"": ""Il barbiere di Siviglia ossia La precauzione inutile"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 62926,
        ""Nome"": ""Il barbiere di Siviglia ossia La precauzione inutile"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 63210,
        ""Nome"": ""Il barbiere di Siviglia ossia La precauzione inutile"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 63211,
        ""Nome"": ""Il barbiere di Siviglia ossia La precauzione inutile"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 63212,
        ""Nome"": ""Il barbiere di Siviglia ossia La precauzione inutile"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 63213,
        ""Nome"": ""Il barbiere di Siviglia ossia La precauzione inutile"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 63214,
        ""Nome"": ""Il barbiere di Siviglia ossia La precauzione inutile"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 71495,
        ""Nome"": ""Il barbiere di Siviglia"",
        ""Ruolo"": """"
    }
]"
"54994";"/Produzioni/1975 L'angelo di fuoco (54994)";"1";"L'angelo di fuoco";"";"1975-01-01";"1975-01-31";"1975";"[]";"[]";"[
    {
        ""Identificativo"": 18412,
        ""Nome"": ""Puecher, Virginio"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 18798,
        ""Nome"": ""De Vita, Luciano"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 59486,
        ""Nome"": ""L'angelo di fuoco"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 59485,
        ""Nome"": ""L'angelo di fuoco"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 71436,
        ""Nome"": ""L'Oiseau de feu / L'angelo di fuoco"",
        ""Ruolo"": """"
    }
]"
"54995";"/Produzioni/Romeo e Giulietta (54995)";"1";"Romeo e Giulietta";"Teatro Nazionale dell&#39;Opera di Praga (EN-)";"";"";"";"[]";"[
    {
        ""Identificativo"": 30358,
        ""Nome"": ""Teatro Nazionale dell'Opera di Praga"",
        ""Ruolo"": ""produzione""
    }
]";"[
    {
        ""Identificativo"": 15358,
        ""Nome"": ""Hirschova, Jindriska"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 14043,
        ""Nome"": ""Svoboda, Josef"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 18397,
        ""Nome"": ""Weigl, Peter"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 59487,
        ""Nome"": ""Balletto del Teatro dell'Opera di Praga.\r\nRomeo e Giulietta"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 59488,
        ""Nome"": ""Balletto del Teatro dell'Opera di Praga. \r\nRomeo e Giulietta"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 63370,
        ""Nome"": ""Balletto del Teatro dell'Opera di Praga. \r\nRomeo e Giulietta"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 63371,
        ""Nome"": ""Balletto del Teatro dell'Opera di Praga. \r\nRomeo e Giulietta"",
        ""Ruolo"": """"
    }
]";"[]"
"54996";"/Produzioni/1973 Coppelia (54996)";"1";"Coppelia";"";"1973-01-01";"1973-01-31";"1973";"[]";"[
    {
        ""Identificativo"": 29942,
        ""Nome"": ""Scapino Ballet"",
        ""Ruolo"": ""produzione""
    }
]";"[
    {
        ""Identificativo"": 16641,
        ""Nome"": ""Bijmoer, Wim"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 59489,
        ""Nome"": ""Coppelia"",
        ""Ruolo"": """"
    }
]";"[]"
"54997";"/Produzioni/1974 Macbeth (54997)";"1";"Macbeth";"";"1974-01-01";"1974-01-31";"1974";"[]";"[
    {
        ""Identificativo"": 29675,
        ""Nome"": ""Teatro Comunale di Bologna"",
        ""Ruolo"": ""produzione""
    }
]";"[
    {
        ""Identificativo"": 31538,
        ""Nome"": ""Fassini, Alberto"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 19149,
        ""Nome"": ""Novaro, Luciana"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 10281,
        ""Nome"": ""Pizzi, Pier Luigi"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 59490,
        ""Nome"": ""Macbeth"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 59491,
        ""Nome"": ""Macbeth"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 69505,
        ""Nome"": ""Macbeth"",
        ""Ruolo"": """"
    }
]"
"54998";"/Produzioni/1973 La fanciulla del West (54998)";"1";"La fanciulla del West";"";"1973-01-01";"1973-12-31";"1973";"[]";"[]";"[
    {
        ""Identificativo"": 10653,
        ""Nome"": ""De Tomasi, Beppe"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 59492,
        ""Nome"": ""La fanciulla del West"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 69370,
        ""Nome"": ""La fanciulla del West"",
        ""Ruolo"": """"
    }
]"
