production_id,credit_type,person_id,person_name,person_role,work_title,performance_start_date,performance_end_date,year,date_text,first_location,first_venue,related_work_id,source_id
32457,artistic,9590,Dante Ferretti,"Costumista,Scenografo",Fanciulla del West,1974-11-26,1974-12-22,1974,26-11-1974 - 22-12-1974,Torino,Teatro Regio,,object_id_3261
32457,technical,7166,"Tirelli, Roma",Sartoria,Fanciulla del West,1974-11-26,1974-12-22,1974,26-11-1974 - 22-12-1974,Torino,Teatro Regio,,object_id_3261
32458,artistic,8601,Susanna Egri,Coreografo,Capricci di Callot,1974-12-06,1974-12-20,1974,06-12-1974 - 20-12-1974,Torino,Teatro Regio,,object_id_3272
32458,artistic,8781,Sandro Sequi,Regista,Capricci di Callot,1974-12-06,1974-12-20,1974,06-12-1974 - 20-12-1974,Torino,Teatro Regio,,object_id_3272
32458,artistic,4439,Pier Luigi Samaritani,"Costumista,Scenografo",Capricci di Callot,1974-12-06,1974-12-20,1974,06-12-1974 - 20-12-1974,Torino,Teatro Regio,,object_id_3272
32458,technical,6425,"Teatro alla Scala, Milano",Sartoria,Capricci di Callot,1974-12-06,1974-12-20,1974,06-12-1974 - 20-12-1974,Torino,Teatro Regio,,object_id_3272
32459,artistic,3922,Piero Faggioni,Regista,Don Carlo,1975-01-14,1975-02-09,1975,14-01-1975 - 09-02-1975,Torino,Teatro Regio,42056,object_id_3278
32459,artistic,3918,Pier Luigi Pizzi,"Costumista,Scenografo",Don Carlo,1975-01-14,1975-02-09,1975,14-01-1975 - 09-02-1975,Torino,Teatro Regio,42056,object_id_3278
32460,artistic,4285,Peter Maag,Regista,Così fan tutte,1975-02-11,1975-02-26,1975,11-02-1975 - 26-02-1975,Torino,Teatro Regio,40193,object_id_3287
32460,artistic,9340,Vittorio Patané,"Costumista,Scenografo",Così fan tutte,1975-02-11,1975-02-26,1975,11-02-1975 - 26-02-1975,Torino,Teatro Regio,40193,object_id_3287
32460,technical,7156,"Teatro di San Carlo, Napoli",Sartoria,Così fan tutte,1975-02-11,1975-02-26,1975,11-02-1975 - 26-02-1975,Torino,Teatro Regio,40193,object_id_3287
32460,technical,8418,"Pedrazzoli, Milano",Calzature,Così fan tutte,1975-02-11,1975-02-26,1975,11-02-1975 - 26-02-1975,Torino,Teatro Regio,40193,object_id_3287
32460,technical,9341,"Sorrentino, Napoli",Parrucche,Così fan tutte,1975-02-11,1975-02-26,1975,11-02-1975 - 26-02-1975,Torino,Teatro Regio,40193,object_id_3287
32460,technical,7161,"Rancati, Cornaredo (MI)",Attrezzeria,Così fan tutte,1975-02-11,1975-02-26,1975,11-02-1975 - 26-02-1975,Torino,Teatro Regio,40193,object_id_3287
32461,artistic,9297,Luigi Rognoni,"Regista,Traduttore",Drei Pintos,1975-02-25,1975-03-08,1975,25-02-1975 - 08-03-1975,Torino,Teatro Regio,,object_id_3294
32461,artistic,6251,Paolo Bregni,"Costumista,Scenografo",Drei Pintos,1975-02-25,1975-03-08,1975,25-02-1975 - 08-03-1975,Torino,Teatro Regio,,object_id_3294
