id,titolo_breve,production_id,dcTitle,from,to,datetext,luogo_nome,luogo_id,edificio_nome,edificio_id,composizione_nome,composizione_id,fullpath
63726,Biancotraviata,,Biancotraviata,1999-02-24,1999-02-24,24/02/1999,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/24-02-1999 Biancotraviata (63726)
63727,Corpo di Stato,,Corpo di Stato,1999-04-19,1999-04-19,19/04/1999,Reggio Emilia,1911,Teatro Cavallerizza,8653,,,/Recite/19-04-1999 Corpo di Stato (63727)
63728,Corpo di Stato,,Corpo di Stato,1999-04-19,1999-04-19,19/04/1999,Reggio Emilia,1911,Teatro Cavallerizza,8653,,,/Recite/19-04-1999 Corpo di Stato (63728)
63729,A 5 cm. da terra,,A 5 cm. da terra,1999-01-28,1999-01-28,28/01/1999,Reggio Emilia,1911,Teatro Cavallerizza,8653,,,/Recite/28-01-1999 A 5 cm. da terra (63729)
63730,La barchetta di carta,,La barchetta di carta,1999-02-01,1999-02-01,01/02/1999,Reggio Emilia,1911,Teatro Cavallerizza,8653,,,/Recite/01-02-1999 La barchetta di carta (63730)
63731,La barchetta di carta,,La barchetta di carta,1999-02-02,1999-02-02,02/02/1999,Reggio Emilia,1911,Teatro Cavallerizza,8653,,,/Recite/02-02-1999 La barchetta di carta (63731)
63732,La barchetta di carta,,La barchetta di carta,1999-02-03,1999-02-03,03/02/1999,Reggio Emilia,1911,Teatro Cavallerizza,8653,,,/Recite/03-02-1999 La barchetta di carta (63732)
63733,I tre cavalieri del Graal,,I tre cavalieri del Graal,1999-02-10,1999-02-10,10/02/1999,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/10-02-1999 I tre cavalieri del Graal (63733)
63734,I tre cavalieri del Graal,,I tre cavalieri del Graal,1999-02-11,1999-02-11,11/02/1999,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/11-02-1999 I tre cavalieri del Graal (63734)
63735,Celtic Emotions,,Celtic Emotions,1999-03-21,1999-03-21,21/03/1999,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/21-03-1999 Celtic Emotions (63735)
63736,Celtic Emotions,,Celtic Emotions,1999-03-22,1999-03-22,22/03/1999,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/22-03-1999 Celtic Emotions (63736)
63737,Celtic Emotions,,Celtic Emotions,1999-03-23,1999-03-23,23/03/1999,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/23-03-1999 Celtic Emotions (63737)
63738,Dolcemiele,,Dolcemiele,1999-04-27,1999-04-27,27/04/1999,Reggio Emilia,1911,Teatro Cavallerizza,8653,,,/Recite/27-04-1999 Dolcemiele (63738)
63739,Dolcemiele,,Dolcemiele,1999-04-28,1999-04-28,28/04/1999,Reggio Emilia,1911,Teatro Cavallerizza,8653,,,/Recite/28-04-1999 Dolcemiele (63739)
63740,Gulliver's Travels,,Gulliver's Travels,1999-05-04,1999-05-04,04/05/1999,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/04-05-1999 Gulliver's Travels (63740)
63741,Gulliver's Travels,,Gulliver's Travels,1999-05-04,1999-05-04,04/05/1999,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/04-05-1999 Gulliver's Travels (63741)
63742,Cenerentola,,Cenerentola,1993-12-03,1993-12-03,03/12/1993,Reggio Emilia,1911,Teatro Ariosto: Sala Verdi,9302,,,/Recite/03-12-1993 Cenerentola (63742)
63743,Cenerentola,,Cenerentola,1993-12-04,1993-12-04,04/12/1993,Reggio Emilia,1911,Teatro Ariosto: Sala Verdi,9302,,,/Recite/04-12-1993 Cenerentola (63743)
63744,Cenerentola,,Cenerentola,1993-12-06,1993-12-06,06/12/1993,Reggio Emilia,1911,Teatro Ariosto: Sala Verdi,9302,,,/Recite/06-12-1993 Cenerentola (63744)
63745,Cenerentola,,Cenerentola,1993-12-07,1993-12-07,07/12/1993,Reggio Emilia,1911,Teatro Ariosto: Sala Verdi,9302,,,/Recite/07-12-1993 Cenerentola (63745)
