id_recita,esecutore_nome,esecutore_id,esecutore_ruolo
62445,Corso di perfezionamento Agora Coaching Project: Allievi,31304,interprete
62446,Corso di perfezionamento Agora Coaching Project: Allievi,31304,interprete
62455,Nuovo Balletto Classico,31433,interprete
62456,Nuovo Balletto Classico,31433,interprete
62457,Teatro Municipale Romolo Valli,29664,produzione
62457,Nuovo Balletto Classico,31433,interprete
62470,Corso di perfezionamento Agora Coaching Project: Allievi,31304,interprete
62471,Laboratorio del Metodo Errante: Allievi,31436,interprete
62472,Laboratorio del Metodo Errante: Allievi,31436,interprete
62473,Laboratorio del Metodo Errante: Allievi,31436,interprete
62474,Laboratorio del Metodo Errante: Allievi,31436,interprete
62475,Laboratorio del Metodo Errante: Allievi,31436,interprete
62476,Laboratorio del Metodo Errante: Allievi,31436,interprete
62478,Laboratorio del Metodo Errante: Allievi,31436,interprete
62479,Laboratorio del Metodo Errante: Allievi,31436,interprete
62480,Laboratorio del Metodo Errante: Allievi,31436,interprete
62481,Laboratorio del Metodo Errante: Allievi,31436,interprete
62482,Laboratorio del Metodo Errante: Allievi,31436,interprete
62483,Laboratorio del Metodo Errante: Allievi,31436,interprete
62484,Narratori del Bando Giovani 2017,31438,interprete
62485,Narratori del Bando Giovani 2017,31438,interprete
62486,Narratori del Bando Giovani 2017,31438,interprete
62487,Narratori del Bando Giovani 2017,31438,interprete
62488,Narratori del Bando Giovani 2017,31438,interprete
62489,Narratori del Bando Giovani 2017,31438,interprete
62494,Orchestra 1813,30931,interprete
62495,Orchestra 1813,30931,interprete
62496,Orchestra 1813,30931,interprete
62497,Orchestra 1813,30931,interprete
62498,Orchestra 1813,30931,interprete
62499,Icarus Ensemble,29542,orchestra
62500,Icarus Ensemble,29542,orchestra
62501,Coro Indaco,25623,interprete
62501,Coro Polifonico di Reggio Emilia,29520,interprete
62501,Drums Professional School,31439,interprete
62501,Regium Lepidi Pulsationes,31440,interprete
62501,Coro dell'Università di Modena e Reggio,31442,interprete
62501,Rete Diritto di Parola,31443,interprete
62502,Accademia sull'arte del gesto,31444,interprete
62503,Accademia sull'arte del gesto,31444,interprete
62504,Accademia sull'arte del gesto,31444,interprete
62506,Les Ballets C de la B,28945,compagnia di balletto/danza
62507,Les Ballets C de la B,28945,interprete
62513,Teatro Municipale Romolo Valli,29664,produzione
62517,Balletto di Toscana,29546,interprete
62518,White Oak Dance Project,31457,interprete
62519,Orchestra da camera di Bologna,29506,orchestra
62520,Orchestra dell'Opera Italiana,31402,orchestra
