id_recita,curatore_nome,curatore_id,curatore_ruolo
58103,"Garforth, David",11017,direzione d'orchestra
58107,"Rota, Marcello",10754,direzione d'orchestra
58113,"Parisi, Vittorio",10268,direzione d'orchestra
58113,"Rolli, Ugo",10269,maestro del coro
58117,"Beckett, Samuel",12636,tratto da
58120,"Rota, Marcello",10754,direzione d'orchestra
58121,"Rota, Marcello",10754,direzione d'orchestra
58124,"Acs, Janos",9991,direzione d'orchestra
58125,"Acs, Janos",9991,direzione d'orchestra
58126,"Acs, Janos",9991,direzione d'orchestra
58127,"Acs, Janos",9991,direzione d'orchestra
58131,"Garforth, David",11017,direzione d'orchestra
58132,"Garforth, David",11017,direzione d'orchestra
58133,"Garforth, David",11017,direzione d'orchestra
58134,"Mazzola, Enrique",13755,direzione d'orchestra
58134,"Faggiani, Martino",12549,maestro del coro
58135,"Mazzola, Enrique",13755,direzione d'orchestra
58135,"Faggiani, Martino",12549,maestro del coro
58136,"Savignano, Luciana",13517,ballerino/danzatore
58155,"Biagi, Vittorio",13881,ballerino/danzatore
58158,"Rota, Marcello",10754,direzione d'orchestra
58159,"Rota, Marcello",10754,direzione d'orchestra
58160,"Rota, Marcello",10754,direzione d'orchestra
58161,"Rota, Marcello",10754,direzione d'orchestra
58167,"Garforth, David",11017,direzione d'orchestra
58168,"Garforth, David",11017,direzione d'orchestra
58169,"Garforth, David",11017,direzione d'orchestra
58170,"Garforth, David",11017,direzione d'orchestra
58171,"Garforth, David",11017,direzione d'orchestra
58172,"Garforth, David",11017,direzione d'orchestra
58198,"Garforth, David",11017,direzione d'orchestra
58208,"Garforth, David",11017,direzione d'orchestra
58209,"Garforth, David",11017,direzione d'orchestra
58226,"Garforth, David",11017,direzione d'orchestra
58227,"Garforth, David",11017,direzione d'orchestra
58232,"Lawton, David",14053,direzione d'orchestra
58232,"Metti, Valentino",13157,maestro del coro
58233,"Lawton, David",14053,direzione d'orchestra
58233,"Metti, Valentino",13157,maestro del coro
58234,"Farncombe, Charles Frederik",14054,direzione d'orchestra
58234,"Aldwinckle, Robert",13208,maestro del coro
58235,"Travkin, Mikhail",13230,direzione d'orchestra
58235,"Kozin, Valentin",13229,maestro del coro
58236,"Travkin, Mikhail",13230,direzione d'orchestra
58236,"Kozin, Valentin",13229,maestro del coro
58239,"Neuhold, Günther",10883,direzione d'orchestra
58240,"Neuhold, Günther",10883,direzione d'orchestra
58241,"Graf, Hans",11233,direzione d'orchestra
58241,"Angius, Fulvio",13074,maestro del coro
58242,"Graf, Hans",11233,direzione d'orchestra
58242,"Angius, Fulvio",13074,maestro del coro
58243,"Campanella, Bruno",31652,direzione d'orchestra
58243,"Angius, Fulvio",13074,maestro del coro
58244,"Campanella, Bruno",31652,direzione d'orchestra
58244,"Angius, Fulvio",13074,maestro del coro
58307,"Garforth, David",11017,direzione d'orchestra
58307,"Borgonovo, Pietro",14246,"interprete,solista"
58308,"Garforth, David",11017,direzione d'orchestra
58308,"Borgonovo, Pietro",14246,"interprete,solista"
58309,"Terabust, Elisabetta",13889,ballerino/danzatore
58309,"Renouard, Marc",14018,ballerino/danzatore
58360,"Gatti, Daniele",10077,direzione d'orchestra
58360,"Monti, Piero",10366,maestro del coro
58361,"Acocella, Luciano",14424,direzione d'orchestra
58361,"Monti, Piero",10366,maestro del coro
58416,"Garforth, David",11017,direzione d'orchestra
58417,"Garforth, David",11017,direzione d'orchestra
58421,"Garforth, David",11017,direzione d'orchestra
58422,"Garforth, David",11017,direzione d'orchestra
58435,"Zhemchuzhin, Georgy",14641,direzione d'orchestra
58436,"Zhemchuzhin, Georgy",14641,direzione d'orchestra
58437,"Zhemchuzhin, Georgy",14641,direzione d'orchestra
58441,"Garforth, David",11017,direzione d'orchestra
58442,"Garforth, David",11017,direzione d'orchestra
58451,"Garforth, David",11017,direzione d'orchestra
58468,"Garforth, David",11017,direzione d'orchestra
58469,"Garforth, David",11017,direzione d'orchestra
58542,"Viotti, Marcello",15286,direzione d'orchestra
58542,"Monti, Piero",10366,maestro del coro
58543,"Garforth, David",11017,direzione d'orchestra
58544,"Garforth, David",11017,direzione d'orchestra
58554,"Trikolidis, Karolos",11078,direzione d'orchestra
58555,"Trikolidis, Karolos",11078,direzione d'orchestra
58630,"Oliver Ribas, Maria Antonia",15601,ballerino/danzatore
58630,"Muñoz Guillen, María",15626,ballerino/danzatore
58630,"Gorriz, Aurora",15637,ballerino/danzatore
58630,"Muñoz, Elisenda",15638,ballerino/danzatore
58633,"Callegari, Daniele",10671,direzione d'orchestra
58633,"Monti, Piero",10366,maestro del coro
58702,"Abbado, Roberto",15811,direzione d'orchestra
58702,"Metti, Valentino",13157,maestro del coro
58703,"Abbado, Roberto",15811,direzione d'orchestra
58703,"Metti, Valentino",13157,maestro del coro
58704,"Farncombe, Charles Frederik",14054,direzione d'orchestra
58705,"Farncombe, Charles Frederik",14054,direzione d'orchestra
58706,"Farncombe, Charles Frederik",14054,direzione d'orchestra
58707,"Neuhold, Günther",10883,direzione d'orchestra
58707,"Tanzi, Adolfo",10884,maestro del coro
58708,"Neuhold, Günther",10883,direzione d'orchestra
58709,"Gallois, Henri",15824,direzione d'orchestra
58709,"Metti, Valentino",13157,maestro del coro
58710,"Gallois, Henri",15824,direzione d'orchestra
58710,"Metti, Valentino",13157,maestro del coro
58711,"Campori, Angelo",31575,direzione d'orchestra
58712,"Campori, Angelo",31575,direzione d'orchestra
58790,"Campanella, Bruno",31652,direzione d'orchestra
58790,"Metti, Valentino",13157,maestro del coro
58791,"Campanella, Bruno",31652,direzione d'orchestra
58791,"Metti, Valentino",13157,maestro del coro
58792,"Neuhold, Günther",10883,direzione d'orchestra
58793,"Neuhold, Günther",10883,direzione d'orchestra
58794,"Neuhold, Günther",10883,direzione d'orchestra
58795,"Veltri, Michelangelo",16013,direzione d'orchestra
58795,"Metti, Valentino",13157,maestro del coro
58796,"Veltri, Michelangelo",16013,direzione d'orchestra
58796,"Metti, Valentino",13157,maestro del coro
58797,"Kellogg, Cal Stewart",31666,direzione d'orchestra
58797,"Metti, Valentino",13157,maestro del coro
58798,"Kellogg, Cal Stewart",31666,direzione d'orchestra
58798,"Metti, Valentino",13157,maestro del coro
58799,"Kozin, Valentin",13229,direzione d'orchestra
58799,"Travkin, Mikhail",13230,maestro del coro
58800,"Kozin, Valentin",13229,direzione d'orchestra
58800,"Travkin, Mikhail",13230,maestro del coro
58801,"Baroni, Nicola",9988,orchestrale
58801,"Rodolfi, Sauro",10983,orchestrale
58801,"Egaddi, Edgardo",10302,maestro del coro
58863,"Giovaninetti, Reynald",9956,direzione d'orchestra
58863,"Metti, Valentino",13157,maestro del coro
58864,"Giovaninetti, Reynald",9956,direzione d'orchestra
58864,"Metti, Valentino",13157,maestro del coro
58869,"Neuhold, Günther",10883,direzione d'orchestra
58870,"Neuhold, Günther",10883,direzione d'orchestra
58871,"Neuhold, Günther",10883,direzione d'orchestra
58871,"Tanzi, Adolfo",10884,maestro del coro
58872,"Neuhold, Günther",10883,direzione d'orchestra
58872,"Tanzi, Adolfo",10884,maestro del coro
58873,"Campori, Angelo",31575,direzione d'orchestra
58873,"Metti, Valentino",13157,maestro del coro
58874,"Campori, Angelo",31575,direzione d'orchestra
58874,"Metti, Valentino",13157,maestro del coro
58875,"Gelmetti, Gianluigi",12559,direzione d'orchestra
58875,"Angius, Fulvio",13074,maestro del coro
58875,"Salce, Federico",16279,maestro del coro
58876,"Gelmetti, Gianluigi",12559,direzione d'orchestra
58876,"Angius, Fulvio",13074,maestro del coro
58876,"Salce, Federico",16279,maestro del coro
58949,"Campanella, Bruno",31652,direzione d'orchestra
58949,"Metti, Valentino",13157,maestro del coro
58950,"Campanella, Bruno",31652,direzione d'orchestra
58950,"Metti, Valentino",13157,maestro del coro
58951,"Neuhold, Günther",10883,direzione d'orchestra
58951,"Egaddi, Edgardo",10302,maestro del coro
58952,"Neuhold, Günther",10883,direzione d'orchestra
58952,"Egaddi, Edgardo",10302,maestro del coro
58953,"Kuchinka, Josef",16228,direzione d'orchestra
58953,"Galeotti, Stefano",16535,maestro del coro
58954,"Kuchinka, Josef",16228,direzione d'orchestra
58954,"Galeotti, Stefano",16535,maestro del coro
58955,"Franci, Carlo",31677,direzione d'orchestra
58955,"Metti, Valentino",13157,maestro del coro
58956,"Franci, Carlo",31677,direzione d'orchestra
58956,"Metti, Valentino",13157,maestro del coro
58957,"Galeotti, Stefano",16535,maestro del coro
58957,"Biagi, Vittorio",13881,ballerino/danzatore
58957,"Bagetto, Raffaella",14270,ballerino/danzatore
58957,"Brandani, Gloria",15219,ballerino/danzatore
58958,"Curtis, Alan",16554,direzione d'orchestra
58958,"Galeotti, Stefano",16535,maestro del coro
58958,"Biagi, Vittorio",13881,ballerino/danzatore
58958,"Bagetto, Raffaella",14270,ballerino/danzatore
58958,"Brandani, Gloria",15219,ballerino/danzatore
58959,"Sander, Alexander",16555,direzione d'orchestra
58959,"Acciai, Giovanni",34453,maestro del coro
58960,"Sander, Alexander",16555,direzione d'orchestra
58960,"Acciai, Giovanni",34453,maestro del coro
58974,"Dumanescu, G. Victor",16605,direzione d'orchestra
58974,"Bisoc, Anton",16606,maestro del coro
58975,"Zedda, Alberto",31539,direzione d'orchestra
58975,"Metti, Valentino",13157,maestro del coro
58976,"Zedda, Alberto",31539,direzione d'orchestra
58976,"Metti, Valentino",13157,maestro del coro
58977,"Wanderzand, Charles",16620,direzione d'orchestra
58978,"Wanderzand, Charles",16620,direzione d'orchestra
58979,"Scholz, Edwin",16627,direzione d'orchestra
58979,"Egaddi, Edgardo",10302,maestro del coro
58980,"Scholz, Edwin",16627,direzione d'orchestra
58980,"Egaddi, Edgardo",10302,maestro del coro
58984,"Scholz, Edwin",16627,direzione d'orchestra
58984,"Metti, Valentino",13157,maestro del coro
58985,"Scholz, Edwin",16627,direzione d'orchestra
58985,"Metti, Valentino",13157,maestro del coro
58986,"Koncz, Tamas",16657,direzione d'orchestra
58986,"Egaddi, Edgardo",10302,maestro del coro
58987,"Koncz, Tamas",16657,direzione d'orchestra
58987,"Egaddi, Edgardo",10302,maestro del coro
58988,"Koncz, Tamas",16657,direzione d'orchestra
58988,"Egaddi, Edgardo",10302,maestro del coro
58989,"Rosenthal, Manuel",16667,direzione d'orchestra
58989,"Egaddi, Edgardo",10302,maestro del coro
58990,"Rosenthal, Manuel",16667,direzione d'orchestra
58990,"Egaddi, Edgardo",10302,maestro del coro
58993,"Monica, Fabiano",16671,direzione d'orchestra
58993,"Burzoni, Antonio",16672,maestro del coro
58994,"Monica, Fabiano",16671,direzione d'orchestra
58994,"Burzoni, Antonio",16672,maestro del coro
58995,"Delman, Vladimir",11235,direzione d'orchestra
58995,"Magiera, Leone",10686,maestro del coro
58995,"Salce, Federico",16279,maestro del coro
58996,"Delman, Vladimir",11235,direzione d'orchestra
58996,"Magiera, Leone",10686,maestro del coro
58996,"Salce, Federico",16279,maestro del coro
58997,"Abbado, Claudio",10324,direzione d'orchestra
58997,"Riccitelli, Gaetano",16722,maestro del coro
58998,"Zambelli, Marco",16740,direzione d'orchestra
58998,"Cortesi, Raffaele",16743,orchestrale
58998,"Casati, Corrado",16744,maestro del coro
58999,"Zambelli, Marco",16740,direzione d'orchestra
58999,"Cortesi, Raffaele",16743,orchestrale
58999,"Casati, Corrado",16744,maestro del coro
59020,"Dantone, Ottavio",16801,direzione d'orchestra
59021,"Dantone, Ottavio",16801,direzione d'orchestra
59022,"Gatti, Daniele",10077,direzione d'orchestra
59022,"Rossi, Silvia",10663,maestro del coro
59022,"Garatti, Gea",16805,maestro del coro
59023,"Gatti, Daniele",10077,direzione d'orchestra
59023,"Rossi, Silvia",10663,maestro del coro
59023,"Garatti, Gea",16805,maestro del coro
59033,"Giovaninetti, Reynald",9956,direzione d'orchestra
59033,"Sebastiani, Franco",10009,maestro del coro
59034,"Giovaninetti, Reynald",9956,direzione d'orchestra
