id_recita,curatore_nome,curatore_id,curatore_ruolo
35592,Bruno Casoni,7195,Maestro del coro
35593,Emil Tabakov,7773,Direttore d'orchestra
35593,Bruno Casoni,7195,Maestro del coro
35594,Emil Tabakov,7773,Direttore d'orchestra
35594,Bruno Casoni,7195,Maestro del coro
35595,Emil Tabakov,7773,Direttore d'orchestra
35595,Bruno Casoni,7195,Maestro del coro
35596,Emil Tabakov,7773,Direttore d'orchestra
35596,Bruno Casoni,7195,Maestro del coro
35597,Emil Tabakov,7773,Direttore d'orchestra
35597,Bruno Casoni,7195,Maestro del coro
35598,Emil Tabakov,7773,Direttore d'orchestra
35598,Bruno Casoni,7195,Maestro del coro
35599,Emil Tabakov,7773,Direttore d'orchestra
35599,Bruno Casoni,7195,Maestro del coro
35600,Reynald Giovaninetti,3595,Direttore d'orchestra
35600,Bruno Casoni,7195,Maestro del coro
35601,Reynald Giovaninetti,3595,Direttore d'orchestra
35601,Bruno Casoni,7195,Maestro del coro
35602,Reynald Giovaninetti,3595,Direttore d'orchestra
35602,Bruno Casoni,7195,Maestro del coro
35603,Reynald Giovaninetti,3595,Direttore d'orchestra
35603,Bruno Casoni,7195,Maestro del coro
35604,Reynald Giovaninetti,3595,Direttore d'orchestra
35604,Bruno Casoni,7195,Maestro del coro
35605,Reynald Giovaninetti,3595,Direttore d'orchestra
35605,Bruno Casoni,7195,Maestro del coro
35606,Reynald Giovaninetti,3595,Direttore d'orchestra
35606,Bruno Casoni,7195,Maestro del coro
35607,Reynald Giovaninetti,3595,Direttore d'orchestra
35607,Bruno Casoni,7195,Maestro del coro
35608,Andrea Quinn,7788,Direttore d'orchestra
35609,Andrea Quinn,7788,Direttore d'orchestra
35610,Andrea Quinn,7788,Direttore d'orchestra
35611,Andrea Quinn,7788,Direttore d'orchestra
35612,Andrea Quinn,7788,Direttore d'orchestra
35613,Andrea Quinn,7788,Direttore d'orchestra
35614,Andrea Quinn,7788,Direttore d'orchestra
35615,Andrea Quinn,7788,Direttore d'orchestra
35616,Andrea Quinn,7788,Direttore d'orchestra
35617,Andrea Quinn,7788,Direttore d'orchestra
35618,Andrea Quinn,7788,Direttore d'orchestra
35619,Jeffrey Tate,7693,Direttore d'orchestra
35620,Jeffrey Tate,7693,Direttore d'orchestra
35621,Jeffrey Tate,7693,Direttore d'orchestra
35622,Jeffrey Tate,7693,Direttore d'orchestra
35623,Jeffrey Tate,7693,Direttore d'orchestra
35624,Jeffrey Tate,7693,Direttore d'orchestra
35625,Fabrizio Carminati,6480,Direttore d'orchestra
35625,Claudio Marino Moretti,7293,Maestro del coro
35626,Fabrizio Carminati,6480,Direttore d'orchestra
35626,Claudio Marino Moretti,7293,Maestro del coro
35627,Fabrizio Carminati,6480,Direttore d'orchestra
35627,Claudio Marino Moretti,7293,Maestro del coro
35628,Fabrizio Carminati,6480,Direttore d'orchestra
35628,Claudio Marino Moretti,7293,Maestro del coro
35629,Fabrizio Carminati,6480,Direttore d'orchestra
35629,Claudio Marino Moretti,7293,Maestro del coro
35630,Fabrizio Carminati,6480,Direttore d'orchestra
35630,Claudio Marino Moretti,7293,Maestro del coro
35631,Fabrizio Carminati,6480,Direttore d'orchestra
35631,Claudio Marino Moretti,7293,Maestro del coro
35632,John Mauceri,7653,Direttore d'orchestra
35632,Bruno Casoni,7195,Maestro del coro
35632,Claudio Marino Moretti,7293,Maestro del coro
35633,John Mauceri,7653,Direttore d'orchestra
35633,Bruno Casoni,7195,Maestro del coro
35633,Claudio Marino Moretti,7293,Maestro del coro
35634,John Mauceri,7653,Direttore d'orchestra
35634,Bruno Casoni,7195,Maestro del coro
35634,Claudio Marino Moretti,7293,Maestro del coro
35635,John Mauceri,7653,Direttore d'orchestra
35635,Bruno Casoni,7195,Maestro del coro
35635,Claudio Marino Moretti,7293,Maestro del coro
35636,John Mauceri,7653,Direttore d'orchestra
35636,Bruno Casoni,7195,Maestro del coro
35636,Claudio Marino Moretti,7293,Maestro del coro
35637,John Mauceri,7653,Direttore d'orchestra
35637,Bruno Casoni,7195,Maestro del coro
35637,Claudio Marino Moretti,7293,Maestro del coro
35638,John Mauceri,7653,Direttore d'orchestra
35638,Bruno Casoni,7195,Maestro del coro
35638,Claudio Marino Moretti,7293,Maestro del coro
35639,John Mauceri,7653,Direttore d'orchestra
35639,Bruno Casoni,7195,Maestro del coro
35639,Claudio Marino Moretti,7293,Maestro del coro
35640,John Mauceri,7653,Direttore d'orchestra
35640,Bruno Casoni,7195,Maestro del coro
35640,Claudio Marino Moretti,7293,Maestro del coro
35641,John Mauceri,7653,Direttore d'orchestra
35641,Bruno Casoni,7195,Maestro del coro
35641,Claudio Marino Moretti,7293,Maestro del coro
35642,John Mauceri,7653,Direttore d'orchestra
35642,Bruno Casoni,7195,Maestro del coro
35642,Claudio Marino Moretti,7293,Maestro del coro
35643,John Mauceri,7653,Direttore d'orchestra
35643,Bruno Casoni,7195,Maestro del coro
35643,Claudio Marino Moretti,7293,Maestro del coro
35644,John Mauceri,7653,Direttore d'orchestra
