id_recita,esecutore_nome,esecutore_id,esecutore_ruolo
38939,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38952,Filarmonica Teatro Regio Torino,25601,Orchestra
38957,"Coro di voci bianche del Teatro Regio e del Conservatorio “G. Verdi”, Torino",7222,Coro
38979,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38979,"Coro del Teatro Regio, Torino",7196,Coro
38990,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38990,"Coro del Teatro Regio, Torino",7196,Coro
38991,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38991,"Coro del Teatro Regio, Torino",7196,Coro
39000,"Coro di voci bianche del Teatro Regio e del Conservatorio “G. Verdi”, Torino",7222,Coro
39003,"Orchestra del Teatro Regio, Torino",7197,Orchestra
39003,"Coro del Teatro Regio, Torino",7196,Coro
39007,"Orchestra del Teatro Regio, Torino",7197,Orchestra
39007,"Coro del Teatro Regio, Torino",7196,Coro
39008,"Orchestra del Teatro Regio, Torino",7197,Orchestra
39008,"Coro del Teatro Regio, Torino",7196,Coro
39024,"Orchestra del Teatro Regio, Torino",7197,Orchestra
39024,"Coro di voci bianche del Teatro Regio e del Conservatorio “G. Verdi”, Torino",7222,Coro
39025,"Orchestra del Teatro Regio, Torino",7197,Orchestra
39025,"Coro di voci bianche del Teatro Regio e del Conservatorio “G. Verdi”, Torino",7222,Coro
39029,"Orchestra del Teatro Regio, Torino",7197,Orchestra
