"id";"fullpath";"dcTitle"
"22917";"/Persone/Bona, Adriano (22917)";"Bona, Adriano"
"22918";"/Persone/Romagnoli, Stefania (22918)";"Romagnoli, Stefania"
"22919";"/Persone/Codignola, Adriano (22919)";"Codignola, Adriano"
"22920";"/Persone/Nasso, Antonio (22920)";"Nasso, Antonio"
"22921";"/Persone/Angileri, Dario (22921)";"Angileri, Dario"
"22922";"/Persone/Caretto, Piero (22922)";"Caretto, Piero"
"22923";"/Persone/Emanuel, Riccardo (22923)";"Emanuel, Riccardo"
"22924";"/Persone/Mastroianni, Marcello (22924)";"Mastroianni, Marcello"
"22925";"/Persone/Vilar, Bruno (22925)";"Vilar, Bruno"
"22926";"/Persone/Farah, Giuseppe (22926)";"Farah, Giuseppe"
"22927";"/Persone/Salvaderi, Mario (22927)";"Salvaderi, Mario"
"22928";"/Persone/Bianchi, Marina (22928)";"Bianchi, Marina"
"22929";"/Persone/Sciatto, Franca (22929)";"Sciatto, Franca"
"22930";"/Persone/Bonino, Lia (22930)";"Bonino, Lia"
"22931";"/Persone/Boccella, Patrizia (22931)";"Boccella, Patrizia"
"22932";"/Persone/Mulachiè, Gabriella (22932)";"Mulachiè, Gabriella"
"22933";"/Persone/Pignolo, Ginetta (22933)";"Pignolo, Ginetta"
"22934";"/Persone/Poli, Lucia (22934)";"Poli, Lucia"
"22935";"/Persone/Dei, Giancarlo (22935)";"Dei, Giancarlo"
"22936";"/Persone/Frosini, Deanna (22936)";"Frosini, Deanna"
"22937";"/Persone/Tornabuoni, Lorenzo (22937)";"Tornabuoni, Lorenzo"
"22938";"/Persone/Attisani, Antonio (22938)";"Attisani, Antonio"
"22939";"/Persone/Giuliani, Massimo (22939)";"Giuliani, Massimo"
"22940";"/Persone/Savagnone, Rita (22940)";"Savagnone, Rita"
"22941";"/Persone/Carli, Laura (22941)";"Carli, Laura"
"22942";"/Persone/Zampetti, Stefano (22942)";"Zampetti, Stefano"
"22943";"/Persone/Maniscalco, Gioacchino (22943)";"Maniscalco, Gioacchino"
"22944";"/Persone/Nay, Barbara (22944)";"Nay, Barbara"
"22945";"/Persone/Lajolo, Davide (22945)";"Lajolo, Davide"
"22946";"/Persone/Duse, Vittorio (22946)";"Duse, Vittorio"
"22947";"/Persone/Sbragia, Mattia (22947)";"Sbragia, Mattia"
"22948";"/Persone/Bonini, Lida (22948)";"Bonini, Lida"
"22949";"/Persone/Mangano, Nino (22949)";"Mangano, Nino"
"22950";"/Persone/Valentini, Roberto (22950)";"Valentini, Roberto"
"22951";"/Persone/Valentinetti, Emerico (22951)";"Valentinetti, Emerico"
"22952";"/Persone/Caroli, Anna (22952)";"Caroli, Anna"
"22953";"/Persone/Pienovi, Nennele (22953)";"Pienovi, Nennele"
"22954";"/Persone/Dapporto, Carlo (22954)";"Dapporto, Carlo"
"22955";"/Persone/Bruzzo, Laura (22955)";"Bruzzo, Laura"
"22956";"/Persone/Benvenuto, Titti (22956)";"Benvenuto, Titti"
"22957";"/Persone/Bixio, Giorgio (22957)";"Bixio, Giorgio"
"22958";"/Persone/Araldi, Emiliano (22958)";"Araldi, Emiliano"
"22959";"/Persone/Colombo, Roberto (22959)";"Colombo, Roberto"
"22960";"/Persone/Lonardi, Pino (22960)";"Lonardi, Pino"
"22961";"/Persone/Petrucci, Vito Elio (22961)";"Petrucci, Vito Elio"
"22962";"/Persone/Taurino, Vincenzo (22962)";"Taurino, Vincenzo"
"22963";"/Persone/Pagni, Bruno (22963)";"Pagni, Bruno"
"22964";"/Persone/Chio, Anna Maria (22964)";"Chio, Anna Maria"
"22965";"/Persone/Sorrentino, Liliana (22965)";"Sorrentino, Liliana"
"22966";"/Persone/Sorrentino, Claudio (22966)";"Sorrentino, Claudio"
"22967";"/Persone/Furlai, Armando (22967)";"Furlai, Armando"
"22969";"/Persone/Mammì, Maurizio (22969)";"Mammì, Maurizio"
"22971";"/Persone/De Simone, Ria (22971)";"De Simone, Ria"
"22972";"/Persone/Brengola, Marina (22972)";"Brengola, Marina"
"22973";"/Persone/Biserini, Renata (22973)";"Biserini, Renata"
"22974";"/Persone/Nobili, Stella (22974)";"Nobili, Stella"
"22975";"/Persone/Gori, Carlo (22975)";"Gori, Carlo"
"22976";"/Persone/Andretta, Toni (22976)";"Andretta, Toni"
"22977";"/Persone/Robigg, Olad (22977)";"Robigg, Olad"
"22978";"/Persone/Strano, Alfredo (22978)";"Strano, Alfredo"
"22979";"/Persone/Ciappetti, Umberto (22979)";"Ciappetti, Umberto"
"22980";"/Persone/Piazza, Antonio (22980)";"Piazza, Antonio"
"22981";"/Persone/Santelli, Gianni (22981)";"Santelli, Gianni"
"22982";"/Persone/Turchi, Guido (22982)";"Turchi, Guido"
"22983";"/Persone/Ford, John (22983)";"Ford, John"
"22984";"/Persone/De Berti, Agostino (22984)";"De Berti, Agostino"
"22985";"/Persone/Mironov, Andrej Aleksandrovic (22985)";"Mironov, Andrej Aleksandrovic"
"22986";"/Persone/Penkov, Nicolaia Gergievicia (22986)";"Penkov, Nicolaia Gergievicia"
"22987";"/Persone/Sharjkina, Valentina Dmitrievna (22987)";"Sharjkina, Valentina Dmitrievna"
"22988";"/Persone/Kornienko, Nina Grigorjevna (22988)";"Kornienko, Nina Grigorjevna"
"22989";"/Persone/Stepanova, Galina Mikhajlovna (22989)";"Stepanova, Galina Mikhajlovna"
"22990";"/Persone/Oveckin, Aleksej Klementjevic (22990)";"Oveckin, Aleksej Klementjevic"
"22991";"/Persone/Zelinskaja, Zoja Nikolajevna (22991)";"Zelinskaja, Zoja Nikolajevna"
"22992";"/Persone/Menglet, Gheorghij Pavlovic (22992)";"Menglet, Gheorghij Pavlovic"
"22993";"/Persone/Aleksandrov, Rodion Aleksandrovic (22993)";"Aleksandrov, Rodion Aleksandrovic"
"22994";"/Persone/Runghe, Boris Vasiljevic (22994)";"Runghe, Boris Vasiljevic"
"22995";"/Persone/Papanov, Anatolij Dmitrievic (22995)";"Papanov, Anatolij Dmitrievic"
"22996";"/Persone/Plucek, Valentin Nikolejevic (22996)";"Plucek, Valentin Nikolejevic"
"22997";"/Persone/Patano, Franco (22997)";"Patano, Franco"
"22998";"/Persone/Talotta, Francesco (22998)";"Talotta, Francesco"
"22999";"/Persone/Sonni, Corrado (22999)";"Sonni, Corrado"
"23000";"/Persone/Fenoglio, Mariella (23000)";"Fenoglio, Mariella"
"23001";"/Persone/Ferrero, Ernesto (23001)";"Ferrero, Ernesto"
"23002";"/Persone/Dreyer, Carl Theodor (23002)";"Dreyer, Carl Theodor"
"23003";"/Persone/Arena, Raffaele (23003)";"Arena, Raffaele"
"23004";"/Persone/Gialli, Valeriano (23004)";"Gialli, Valeriano"
"23005";"/Persone/Massei, Luca (23005)";"Massei, Luca"
"23006";"/Persone/Onega, Mario (23006)";"Onega, Mario"
"23007";"/Persone/Sacilotto, Massimo (23007)";"Sacilotto, Massimo"
"23008";"/Persone/Belletti, Achille (23008)";"Belletti, Achille"
"23009";"/Persone/Corni, Giovanna (23009)";"Corni, Giovanna"
"23010";"/Persone/Ferrero, Nadia (23010)";"Ferrero, Nadia"
"23011";"/Persone/Lo Faro, Antonio (23011)";"Lo Faro, Antonio"
"23012";"/Persone/Beraldo, Elisabetta (23012)";"Beraldo, Elisabetta"
"23013";"/Persone/Burronni, Gianni (23013)";"Burronni, Gianni"
"23014";"/Persone/De Marchi, Crocifisso (23014)";"De Marchi, Crocifisso"
"23015";"/Persone/Morotti, Andrea (23015)";"Morotti, Andrea"
"23016";"/Persone/Biancalani, Ugo (23016)";"Biancalani, Ugo"
"23017";"/Persone/Pappadà, Pietro (23017)";"Pappadà, Pietro"
"23018";"/Persone/Ciampagna, Nicola (23018)";"Ciampagna, Nicola"
"23019";"/Persone/Dal Forno, Maurizio (23019)";"Dal Forno, Maurizio"
"23020";"/Persone/Venetucci, Giuseppe G. (23020)";"Venetucci, Giuseppe G."
"23021";"/Persone/Romero, Laura (23021)";"Romero, Laura"
"23022";"/Persone/Viglione, Maria Grazia (23022)";"Viglione, Maria Grazia"
"23023";"/Persone/O'Neill, Eugene Gladostone (23023)";"O'Neill, Eugene Gladostone"
"23024";"/Persone/Niccodemi, Dario (23024)";"Niccodemi, Dario"
"23025";"/Persone/Jerkovic, Bogdan (23025)";"Jerkovic, Bogdan"
"23026";"/Persone/Codispoti, Francesca (23026)";"Codispoti, Francesca"
"23027";"/Persone/Maggiali, Ugo (23027)";"Maggiali, Ugo"
"23028";"/Persone/Spaggiari, Vittorio (23028)";"Spaggiari, Vittorio"
"23030";"/Persone/Busoni, Manlio (23030)";"Busoni, Manlio"
"23031";"/Persone/Svampa, Nanni (23031)";"Svampa, Nanni"
"23032";"/Persone/Straniero, Michele Luciano (23032)";"Straniero, Michele Luciano"
"23033";"/Persone/Bonardi, Augusto (23033)";"Bonardi, Augusto"
"23034";"/Persone/Fallica, Raffaele (23034)";"Fallica, Raffaele"
"23035";"/Persone/Liguori, Gaetano (23035)";"Liguori, Gaetano"
"23036";"/Persone/Stefanucci, Tony (23036)";"Stefanucci, Tony"
"23037";"/Persone/Mari, Roberto (23037)";"Mari, Roberto"
"23038";"/Persone/Cavallo, Nelly (23038)";"Cavallo, Nelly"
"23039";"/Persone/De Laurentiis, Lucia (23039)";"De Laurentiis, Lucia"
"23040";"/Persone/Babusci, Francesco (23040)";"Babusci, Francesco"
"23041";"/Persone/Cremonesi, Luca (23041)";"Cremonesi, Luca"
"23042";"/Persone/Gasparini, Carla (23042)";"Gasparini, Carla"
"23043";"/Persone/Marra, Vu (23043)";"Marra, Vu"
"23044";"/Persone/Ruta, Marina (23044)";"Ruta, Marina"
"23045";"/Persone/Horváth, Ödön von (23045)";"Horváth, Ödön von"
"23046";"/Persone/Gandini, Umberto (23046)";"Gandini, Umberto"
"23047";"/Persone/Bonzano, Serenella (23047)";"Bonzano, Serenella"
"23048";"/Persone/Ricchelli, Leonardo (23048)";"Ricchelli, Leonardo"
"23049";"/Persone/Malandain, Thierry (23049)";"Malandain, Thierry"
"23050";"/Persone/Moraschi, Giuseppe (23050)";"Moraschi, Giuseppe"
"23051";"/Persone/Pasquet, Fabienne (23051)";"Pasquet, Fabienne"
"23052";"/Persone/Piacentini, Daniela (23052)";"Piacentini, Daniela"
"23053";"/Persone/Sassi, Aldo (23053)";"Sassi, Aldo"
"23054";"/Persone/Spinelli, Italo (23054)";"Spinelli, Italo"
"23055";"/Persone/Gallardo, Jorge (23055)";"Gallardo, Jorge"
"23057";"/Persone/Deberdt, Frederik (23057)";"Deberdt, Frederik"
"23058";"/Persone/Godefroid, Cédric (23058)";"Godefroid, Cédric"
"23059";"/Persone/Irurzun del Castillo, Mikel (23059)";"Irurzun del Castillo, Mikel"
"23060";"/Persone/Charpentier, Marc-Antoine (23060)";"Charpentier, Marc-Antoine"
"23061";"/Persone/Müller, Helga (23061)";"Müller, Helga"
"23062";"/Persone/Gangi, Mario (23062)";"Gangi, Mario"
"23063";"/Persone/Chiavaro, Giuseppe (23063)";"Chiavaro, Giuseppe"
"23064";"/Persone/Biligovà, Drahomira (23064)";"Biligovà, Drahomira"
"23065";"/Persone/Mahouy, Arnaud (23065)";"Mahouy, Arnaud"
"23066";"/Persone/Baldini, Antonella (23066)";"Baldini, Antonella"
"23067";"/Persone/Tondinelli, Gianrico (23067)";"Tondinelli, Gianrico"
"23068";"/Persone/Fiori, Berardo (23068)";"Fiori, Berardo"
"23069";"/Persone/Cardarelli, Tommaso (23069)";"Cardarelli, Tommaso"
"23070";"/Persone/Albertin, Alessandro (23070)";"Albertin, Alessandro"
"23071";"/Persone/Artemide (23071)";"Artemide"
"23072";"/Persone/Ragni, Lucia (23072)";"Ragni, Lucia"
"23073";"/Persone/Lindsay, Howard (23073)";"Lindsay, Howard"
"23074";"/Persone/Crouse, Russel (23074)";"Crouse, Russel"
"23075";"/Persone/Trapp, Maria Augusta von (23075)";"Trapp, Maria Augusta von"
"23076";"/Persone/Izzo, Alberta (23076)";"Izzo, Alberta"
"23077";"/Persone/Goj, Lucia (23077)";"Goj, Lucia"
"23078";"/Persone/Donato, Chiara (23078)";"Donato, Chiara"
"23079";"/Persone/Monici, Floriana (23079)";"Monici, Floriana"
"23080";"/Persone/Ferrari, Maurizio (23080)";"Ferrari, Maurizio"
"23081";"/Persone/Filidei, Francesco (23081)";"Filidei, Francesco"
"23082";"/Persone/Paci Dalò, Roberto (23082)";"Paci Dalò, Roberto"
"23083";"/Persone/Mazzanti, Livia (23083)";"Mazzanti, Livia"
"23084";"/Persone/Lanza, Mauro (23084)";"Lanza, Mauro"
"23085";"/Persone/Manzotti, Angelo (23085)";"Manzotti, Angelo"
"23086";"/Persone/Bacchi, Ivan (23086)";"Bacchi, Ivan"
"23087";"/Persone/Zoli, Biagio (23087)";"Zoli, Biagio"
"23088";"/Persone/Mouse on Mars (23088)";"Mouse on Mars"
"23089";"/Persone/Chandramouli Manjunath, Basavanahalli (23089)";"Chandramouli Manjunath, Basavanahalli"
"23090";"/Persone/Levelt, Gijs (23090)";"Levelt, Gijs"
"23092";"/Persone/Vainio, Mika (23092)";"Vainio, Mika"
"23093";"/Persone/Väisänen, Ilpo (23093)";"Väisänen, Ilpo"
"23094";"/Persone/Alter Ego (23094)";"Alter Ego"
"23095";"/Persone/Ravaglia, Paolo (23095)";"Ravaglia, Paolo"
"23096";"/Persone/Campagnari, Aldo (23096)";"Campagnari, Aldo"
"23097";"/Persone/Dillon, Francesco (23097)";"Dillon, Francesco"
"23098";"/Persone/Pizzo, Oscar (23098)";"Pizzo, Oscar"
"23099";"/Persone/Vatta, Eugenio (23099)";"Vatta, Eugenio"
"23100";"/Persone/Togninelli, Luciano (23100)";"Togninelli, Luciano"
"23101";"/Persone/Tavora, Salvador (23101)";"Tavora, Salvador"
"23102";"/Persone/De Bonis, Jacques (23102)";"De Bonis, Jacques"
"23103";"/Persone/Raffaelli, Michel (23103)";"Raffaelli, Michel"
"23104";"/Persone/Raffaelli, Betty (23104)";"Raffaelli, Betty"
"23105";"/Persone/Aguilella, Pablo (23105)";"Aguilella, Pablo"
"23106";"/Persone/Barreau, Marcelle (23106)";"Barreau, Marcelle"
"23107";"/Persone/Bernard, Dominique (23107)";"Bernard, Dominique"
"23108";"/Persone/Bouillette, Christian (23108)";"Bouillette, Christian"
"23109";"/Persone/Magenauer, Florence (23109)";"Magenauer, Florence"
"23110";"/Persone/Jouet, Jacqueline (23110)";"Jouet, Jacqueline"
"23111";"/Persone/Khetib, Miloud (23111)";"Khetib, Miloud"
"23112";"/Persone/Laurent, Jean-Pierre (23112)";"Laurent, Jean-Pierre"
"23113";"/Persone/Loussif, Rabah (23113)";"Loussif, Rabah"
"23114";"/Persone/Radochevitch, Dimitri (23114)";"Radochevitch, Dimitri"
"23115";"/Persone/Spiegel, Bernard (23115)";"Spiegel, Bernard"
"23116";"/Persone/Trichet, Dominique (23116)";"Trichet, Dominique"
"23117";"/Persone/Waver, Bernard (23117)";"Waver, Bernard"
"23118";"/Persone/Gautier, Caroline (23118)";"Gautier, Caroline"
"23119";"/Persone/Samson, Yves (23119)";"Samson, Yves"
"23120";"/Persone/Loussif, Joelle (23120)";"Loussif, Joelle"
"23121";"/Persone/Schneider, Laurence (23121)";"Schneider, Laurence"
"23123";"/Persone/Geraud, Nicole (23123)";"Geraud, Nicole"
"23124";"/Persone/Vallejo, Antonio Buero (23124)";"Vallejo, Antonio Buero"
"23125";"/Persone/Gebauer, Achim (23125)";"Gebauer, Achim"
"23126";"/Persone/Niklaus, Walter (23126)";"Niklaus, Walter"
"23127";"/Persone/Strauss, Eberhard (23127)";"Strauss, Eberhard"
"23128";"/Persone/Grabbert, Gunter (23128)";"Grabbert, Gunter"
"23129";"/Persone/Bless, Astrid (23129)";"Bless, Astrid"
"23130";"/Persone/Zetsche, Manfred (23130)";"Zetsche, Manfred"
"23131";"/Persone/Goerdes, Renate (23131)";"Goerdes, Renate"
"23132";"/Persone/Kachlicki, Kurt (23132)";"Kachlicki, Kurt"
"23133";"/Persone/Pfeiffer, Robert (23133)";"Pfeiffer, Robert"
"23134";"/Persone/Fiedler, Helmut (23134)";"Fiedler, Helmut"
"23135";"/Persone/Wille, Hans Robert (23135)";"Wille, Hans Robert"
"23136";"/Persone/Arndt, Hubert (23136)";"Arndt, Hubert"
"23137";"/Persone/Welzel, Karlheinz (23137)";"Welzel, Karlheinz"
"23138";"/Persone/Schroter, Bernhard (23138)";"Schroter, Bernhard"
"23139";"/Persone/Tiefensee, Siegfrid (23139)";"Tiefensee, Siegfrid"
"23140";"/Persone/Kautz, Jurgen (23140)";"Kautz, Jurgen"
"23141";"/Persone/Rodriguez, Ramon (23141)";"Rodriguez, Ramon"
"23142";"/Persone/Kayser, Karl (23142)";"Kayser, Karl"
"23143";"/Persone/Glanze, Gerd (23143)";"Glanze, Gerd"
"23144";"/Persone/Claus, Hans (23144)";"Claus, Hans"
"23145";"/Persone/Soddu, Ubaldo (23145)";"Soddu, Ubaldo"
"23146";"/Persone/Arrighetti, Enrico Maria (23146)";"Arrighetti, Enrico Maria"
"23147";"/Persone/Berganza, Paolo (23147)";"Berganza, Paolo"
"23148";"/Persone/Franchi, Bianca (23148)";"Franchi, Bianca"
"23149";"/Persone/Ferrara, Lidia (23149)";"Ferrara, Lidia"
"23150";"/Persone/Jannace, Luciana (23150)";"Jannace, Luciana"
"23151";"/Persone/Milantoni, Lello (23151)";"Milantoni, Lello"
"23152";"/Persone/Pennusi, Francesco (23152)";"Pennusi, Francesco"
"23153";"/Persone/Monti, Attilio (23153)";"Monti, Attilio"
"23154";"/Persone/Bonato, Ermenegildo (23154)";"Bonato, Ermenegildo"
"23155";"/Persone/Galante, Inigo (23155)";"Galante, Inigo"
"23156";"/Persone/Onorati, Carmen (23156)";"Onorati, Carmen"
"23157";"/Persone/Zucca, Franco (23157)";"Zucca, Franco"
"23158";"/Persone/Buzzatti, Sandro (23158)";"Buzzatti, Sandro"
"23159";"/Persone/Novi, Sonia (23159)";"Novi, Sonia"
"23160";"/Persone/D'Agostini, Dudi (23160)";"D'Agostini, Dudi"
"23161";"/Persone/Margot (23161)";"Margot"
"23162";"/Persone/Macedonio, Francesco (23162)";"Macedonio, Francesco"
"23163";"/Persone/Ripellino, Angelo Maria (23163)";"Ripellino, Angelo Maria"
"23164";"/Persone/Lago, Nais (23164)";"Lago, Nais"
"23165";"/Persone/Minini, Enrica (Chicca) (23165)";"Minini, Enrica (Chicca)"
"23166";"/Persone/Palmieri, Massimo (23166)";"Palmieri, Massimo"
"23167";"/Persone/Milanese, Marco (23167)";"Milanese, Marco"
"23168";"/Persone/Cacopardo, Valerio (23168)";"Cacopardo, Valerio"
"23169";"/Persone/Rossi, Achille (23169)";"Rossi, Achille"
"23170";"/Persone/Gerber, Laurent (23170)";"Gerber, Laurent"
"23171";"/Persone/Rispoli, Gualtiero (23171)";"Rispoli, Gualtiero"
"23172";"/Persone/Bonifaccio, Diego (23172)";"Bonifaccio, Diego"
"23173";"/Persone/Maupassant, Henry René Albert Guy de (23173)";"Maupassant, Henry René Albert Guy de"
"23174";"/Persone/Ceccarelli, Paolo (23174)";"Ceccarelli, Paolo"
"23175";"/Persone/Terreno, Patrizia (23175)";"Terreno, Patrizia"
"23176";"/Persone/Zamuner, Vincenzo (23176)";"Zamuner, Vincenzo"
"23177";"/Persone/Tasca, Luigi (23177)";"Tasca, Luigi"
"23178";"/Persone/Carretto, Piero (23178)";"Carretto, Piero"
"23179";"/Persone/Gherardo, Elisabetta (23179)";"Gherardo, Elisabetta"
"23180";"/Persone/Lombardo Radice, Giovanni (23180)";"Lombardo Radice, Giovanni"
"23181";"/Persone/Bernini, Marino (23181)";"Bernini, Marino"
"23182";"/Persone/Pierro, Pasquale (23182)";"Pierro, Pasquale"
"23183";"/Persone/Campagna, Giancarlo (23183)";"Campagna, Giancarlo"
"23184";"/Persone/Castelli, Maria Grazia (23184)";"Castelli, Maria Grazia"
"23185";"/Persone/Cuculo, Anna (23185)";"Cuculo, Anna"
"23186";"/Persone/Tadini, Luisa (23186)";"Tadini, Luisa"
"23187";"/Persone/Avallone, Vincenzo (23187)";"Avallone, Vincenzo"
"23188";"/Persone/Migliori, Tiziano (23188)";"Migliori, Tiziano"
"23189";"/Persone/Mazzeranghi, Mirella (23189)";"Mazzeranghi, Mirella"
"23190";"/Persone/Airoldi, Conchita (23190)";"Airoldi, Conchita"
"23191";"/Persone/Spadaro, Claudio (23191)";"Spadaro, Claudio"
"23192";"/Persone/Di Gregorio, Gianni (23192)";"Di Gregorio, Gianni"
"23193";"/Persone/Colli, Marco (23193)";"Colli, Marco"
"23194";"/Persone/Milazzo, Massimo (23194)";"Milazzo, Massimo"
"23195";"/Persone/Luongo, Pino (23195)";"Luongo, Pino"
"23196";"/Persone/Arpini, Luigi (23196)";"Arpini, Luigi"
"23197";"/Persone/Goldsand, Mauro (23197)";"Goldsand, Mauro"
"23198";"/Persone/Mascagni, Andrea (23198)";"Mascagni, Andrea"
"23199";"/Persone/Minucci, Roberto (23199)";"Minucci, Roberto"
"23200";"/Persone/Berto, Giuseppe (23200)";"Berto, Giuseppe"
"23201";"/Persone/Lugli, Corrado (23201)";"Lugli, Corrado"
"23202";"/Persone/Rustichelli, Giorgio (23202)";"Rustichelli, Giorgio"
"23203";"/Persone/Grisendi, Giorgio (23203)";"Grisendi, Giorgio"
"23204";"/Persone/Liuzzo, Sara (23204)";"Liuzzo, Sara"
"23205";"/Persone/Menozzi, Gianna (23205)";"Menozzi, Gianna"
"23206";"/Persone/Luppi, Claudio (23206)";"Luppi, Claudio"
"23207";"/Persone/Bassoli, Corrado (23207)";"Bassoli, Corrado"
"23208";"/Persone/Iotti, Laura (23208)";"Iotti, Laura"
"23209";"/Persone/Fornaciari, Annarita (23209)";"Fornaciari, Annarita"
"23210";"/Persone/Rustichelli, Simona (23210)";"Rustichelli, Simona"
"23211";"/Persone/Ghidoni, Adolfo (23211)";"Ghidoni, Adolfo"
"23212";"/Persone/Casarini, Rita (23212)";"Casarini, Rita"
"23213";"/Persone/Grisendi, Graziella (23213)";"Grisendi, Graziella"
"23214";"/Persone/Rustichelli, Fulvia (23214)";"Rustichelli, Fulvia"
"23215";"/Persone/Palladini, Donatella (23215)";"Palladini, Donatella"
"23216";"/Persone/Zini, Donatella (23216)";"Zini, Donatella"
"23217";"/Persone/Casarini, Armando (23217)";"Casarini, Armando"
"23218";"/Persone/Bernardelli, Paolo (23218)";"Bernardelli, Paolo"
"23219";"/Persone/Zanichelli, Rossano (23219)";"Zanichelli, Rossano"
"23220";"/Persone/Tagliavini, Fiorello (23220)";"Tagliavini, Fiorello"
"23221";"/Persone/Cerri, Vincenza (23221)";"Cerri, Vincenza"
"23222";"/Persone/Montanari, Stefano -attore- (23222)";"Montanari, Stefano <attore>"
"23223";"/Persone/Foroni, Fernando (23223)";"Foroni, Fernando"
"23224";"/Persone/Ascari, Alberto (23224)";"Ascari, Alberto"
"23225";"/Persone/Semellini, Mauro (23225)";"Semellini, Mauro"
"23226";"/Persone/Pieroni, Uberto (23226)";"Pieroni, Uberto"
"23227";"/Persone/Ferrari, Ermete (23227)";"Ferrari, Ermete"
"23228";"/Persone/Fabbi, Stefano (23228)";"Fabbi, Stefano"
"23229";"/Persone/Nicolini, Anna Alberta (23229)";"Nicolini, Anna Alberta"
"23230";"/Persone/Vezzani, Arrigo (23230)";"Vezzani, Arrigo"
"23231";"/Persone/Ligabue, Uber (23231)";"Ligabue, Uber"
"23232";"/Persone/Wilder, Thornton Niven (23232)";"Wilder, Thornton Niven"
"23233";"/Persone/Masters, Edgar Lee (23233)";"Masters, Edgar Lee"
"23234";"/Persone/Gambarini, Erina (23234)";"Gambarini, Erina"
"23235";"/Persone/Grassi, Maria (23235)";"Grassi, Maria"
"23236";"/Persone/Signori, Dina (23236)";"Signori, Dina"
"23237";"/Persone/Diamanti, Vinicio (23237)";"Diamanti, Vinicio"
"23238";"/Persone/Consoli, Enzo (23238)";"Consoli, Enzo"
"23239";"/Persone/Grillo, Renato (23239)";"Grillo, Renato"
"23240";"/Persone/Miranda, Aldo (23240)";"Miranda, Aldo"
"23241";"/Persone/Dominot (23241)";"Dominot"
"23242";"/Persone/Cecconi, Giuseppe (23242)";"Cecconi, Giuseppe"
"23243";"/Persone/Fierro, Annalisa (23243)";"Fierro, Annalisa"
"23244";"/Persone/Monni, Carlo (23244)";"Monni, Carlo"
"23245";"/Persone/Vacondio, Armando (23245)";"Vacondio, Armando"
"23246";"/Persone/Santagata, Alfonso (23246)";"Santagata, Alfonso"
"23247";"/Persone/Benvenuto, Rosanna (23247)";"Benvenuto, Rosanna"
"23248";"/Persone/Guicciardi Fiastri, Virginia (23248)";"Guicciardi Fiastri, Virginia"
"23249";"/Persone/Rocchi, Ennia (23249)";"Rocchi, Ennia"
"23250";"/Persone/Malagoli, Danae (23250)";"Malagoli, Danae"
"23251";"/Persone/Ligabue, Lino (23251)";"Ligabue, Lino"
"23252";"/Persone/Barbieri, Franco (23252)";"Barbieri, Franco"
"23253";"/Persone/Boschini, Maria (23253)";"Boschini, Maria"
"23254";"/Persone/Ceci, Angelo (23254)";"Ceci, Angelo"
"23255";"/Persone/Neviani, Giorgio (23255)";"Neviani, Giorgio"
"23256";"/Persone/Belli, Antonio (23256)";"Belli, Antonio"
"23257";"/Persone/Paterlini, Attilio (23257)";"Paterlini, Attilio"
"23258";"/Persone/Cigarini, Rita (23258)";"Cigarini, Rita"
"23259";"/Persone/Vianeni, Jo (23259)";"Vianeni, Jo"
"23260";"/Persone/Casini, Giancarlo (23260)";"Casini, Giancarlo"
"23261";"/Persone/Fontana, Orietta (23261)";"Fontana, Orietta"
"23262";"/Persone/Cigarini, Pietro (23262)";"Cigarini, Pietro"
"23263";"/Persone/Belli, Anna (23263)";"Belli, Anna"
"23264";"/Persone/Boschini, Antonio (23264)";"Boschini, Antonio"
"23265";"/Persone/De Pietri, Sandra (23265)";"De Pietri, Sandra"
"23266";"/Persone/Davoli, Gabriella (23266)";"Davoli, Gabriella"
"23267";"/Persone/Giorgi, Luca (23267)";"Giorgi, Luca"
"23268";"/Persone/Bianchi, Loretta (23268)";"Bianchi, Loretta"
"23269";"/Persone/Capiluppi, Giulio (23269)";"Capiluppi, Giulio"
"23270";"/Persone/Bocchi, Claudio (23270)";"Bocchi, Claudio"
"23271";"/Persone/Seligardi, Marina (23271)";"Seligardi, Marina"
"23272";"/Persone/Pieroni, Umberto (23272)";"Pieroni, Umberto"
"23273";"/Persone/Airoldi, Pino (23273)";"Airoldi, Pino"
"23274";"/Persone/Redini, Angela (23274)";"Redini, Angela"
"23275";"/Persone/Germanetto, Giovanni (23275)";"Germanetto, Giovanni"
"23276";"/Persone/Sanchini, Nivio (23276)";"Sanchini, Nivio"
"23277";"/Persone/Martinelli, Giusy (23277)";"Martinelli, Giusy"
"23278";"/Persone/Martinelli, Annalisa (23278)";"Martinelli, Annalisa"
"23279";"/Persone/Polidori, Paolo (23279)";"Polidori, Paolo"
"23280";"/Persone/Pusinari, Luciano (23280)";"Pusinari, Luciano"
"23281";"/Persone/Serafini, Osvaldo (23281)";"Serafini, Osvaldo"
"23282";"/Persone/Amadia, Egiziana (23282)";"Amadia, Egiziana"
"23283";"/Persone/Sinionich, Ivan (23283)";"Sinionich, Ivan"
"23284";"/Persone/Pignatelli, Micaela (23284)";"Pignatelli, Micaela"
"23285";"/Persone/Modesti, Pierluigi (23285)";"Modesti, Pierluigi"
"23286";"/Persone/Sassi, Marina (23286)";"Sassi, Marina"
"23287";"/Persone/Binda, Lorena (23287)";"Binda, Lorena"
"23288";"/Persone/De Manincor, Paolo (23288)";"De Manincor, Paolo"
"23289";"/Persone/Mugnaioli, Daniela (23289)";"Mugnaioli, Daniela"
