"id";"fullpath";"dcTitle"
"9780";"/Persone/Bechi, Gino (9780)";"Bechi, Gino"
"9781";"/Persone/Tajo, Italo (9781)";"Tajo, Italo"
"9782";"/Persone/Sordello, Enzo (9782)";"Sordello, Enzo"
"9783";"/Persone/Di Stasio, Anna (9783)";"Di Stasio, Anna"
"9784";"/Persone/Benelli, Sem (9784)";"Benelli, Sem"
"9785";"/Persone/Simoni, Renato (9785)";"Simoni, Renato"
"9786";"/Persone/Casals, Margherita (9786)";"Casals, Margherita"
"9787";"/Persone/Markevitch, Igor (9787)";"Markevitch, Igor"
"9788";"/Persone/Calzabigi, Ranieri de' (9788)";"Calzabigi, Ranieri de'"
"9789";"/Persone/Guillard, Nicolas-François (9789)";"Guillard, Nicolas-François"
"9790";"/Persone/Davy, Gloria (9790)";"Davy, Gloria"
"9791";"/Persone/Tosti, Francesco Paolo (9791)";"Tosti, Francesco Paolo"
"9792";"/Persone/Arditi, Luigi (9792)";"Arditi, Luigi"
"9793";"/Persone/Mosenthal, Salomon Hermann von (9793)";"Mosenthal, Salomon Hermann von"
"9794";"/Persone/Ghislanzoni, Antonio (9794)";"Ghislanzoni, Antonio"
"9795";"/Persone/D'Angelo, Gianna (9795)";"D'Angelo, Gianna"
"9796";"/Persone/Barbier, Jules (9796)";"Barbier, Jules"
"9797";"/Persone/Granados, Enrique (9797)";"Granados, Enrique"
"9798";"/Persone/Gay, John (9798)";"Gay, John"
"9799";"/Persone/Bussani, Giacomo Francesco (9799)";"Bussani, Giacomo Francesco"
"9800";"/Persone/Haym, Nicola Francesco (9800)";"Haym, Nicola Francesco"
"9801";"/Persone/Handt, Herbert (9801)";"Handt, Herbert"
"9802";"/Persone/Jennens, Charles (9802)";"Jennens, Charles"
"9803";"/Persone/Rossi, Giacomo (9803)";"Rossi, Giacomo"
"9804";"/Persone/Congreve, William (9804)";"Congreve, William"
"9805";"/Persone/Swieten, Gottfried Bernhard van (9805)";"Swieten, Gottfried Bernhard van"
"9806";"/Persone/Claudel, Paul (9806)";"Claudel, Paul"
"9807";"/Persone/Wette, Adelheid (9807)";"Wette, Adelheid"
"9808";"/Persone/Preissová, Gabriela (9808)";"Preissová, Gabriela"
"9809";"/Persone/Blachut, Beno (9809)";"Blachut, Beno"
"9810";"/Persone/Kalaš, Karel (9810)";"Kalaš, Karel"
"9811";"/Persone/Domanínská, Libuše (9811)";"Domanínská, Libuše"
"9812";"/Persone/Vernizzi, Fulvio (9812)";"Vernizzi, Fulvio"
"9813";"/Persone/Sacchi, Franca (9813)";"Sacchi, Franca"
"9814";"/Persone/Zecchillo, Giuseppe (9814)";"Zecchillo, Giuseppe"
"9815";"/Persone/Metastasio, Pietro (9815)";"Metastasio, Pietro"
"9816";"/Persone/Santi, Piero (9816)";"Santi, Piero"
"9817";"/Persone/Daspuro, Nicola (9817)";"Daspuro, Nicola"
"9818";"/Persone/Di Bella, Benito (9818)";"Di Bella, Benito"
"9819";"/Persone/Targioni-Tozzetti, Giovanni (9819)";"Targioni-Tozzetti, Giovanni"
"9820";"/Persone/Menasci, Guido (9820)";"Menasci, Guido"
"9821";"/Persone/Heine, Heinrich (9821)";"Heine, Heinrich"
"9822";"/Persone/Maffei, Andrea (9822)";"Maffei, Andrea"
"9823";"/Persone/Borsò, Umberto (9823)";"Borsò, Umberto"
"9824";"/Persone/Francia, Piero (9824)";"Francia, Piero"
"9825";"/Persone/Bartoletti, Bruno (9825)";"Bartoletti, Bruno"
"9826";"/Persone/Zeani, Virginia (9826)";"Zeani, Virginia"
"9827";"/Persone/Cain, Henri (9827)";"Cain, Henri"
"9828";"/Persone/Kalef, Breda (9828)";"Kalef, Breda"
"9829";"/Persone/Milliet, Paul (9829)";"Milliet, Paul"
"9830";"/Persone/Casula, Maria (9830)";"Casula, Maria"
"9831";"/Persone/Blau, Édouard (9831)";"Blau, Édouard"
"9832";"/Persone/Hartmann, Georges (9832)";"Hartmann, Georges"
"9833";"/Persone/Prêtre, Georges (9833)";"Prêtre, Georges"
"9834";"/Persone/Lane, Gloria (9834)";"Lane, Gloria"
"9835";"/Persone/Gatto, Armando (9835)";"Gatto, Armando"
"9836";"/Persone/Trama, Ugo (9836)";"Trama, Ugo"
"9837";"/Persone/Rapalo, Ugo (9837)";"Rapalo, Ugo"
"9838";"/Persone/Chiara, Maria (9838)";"Chiara, Maria"
"9839";"/Persone/Carmeli, Boris (9839)";"Carmeli, Boris"
"9840";"/Persone/Lewis, Henry (9840)";"Lewis, Henry"
"9841";"/Persone/Cocteau, Jean (9841)";"Cocteau, Jean"
"9842";"/Persone/Hiolski, Andrzej (9842)";"Hiolski, Andrzej"
"9843";"/Persone/Rinuccini, Ottavio (9843)";"Rinuccini, Ottavio"
"9844";"/Persone/Tasso, Torquato (9844)";"Tasso, Torquato"
"9845";"/Persone/Busenello, Giovanni Francesco (9845)";"Busenello, Giovanni Francesco"
"9846";"/Persone/Striggio, Alessandro (9846)";"Striggio, Alessandro"
"9847";"/Persone/Badoaro, Giacomo (9847)";"Badoaro, Giacomo"
"9848";"/Persone/Weiskern, Friedrich Wilhelm (9848)";"Weiskern, Friedrich Wilhelm"
"9849";"/Persone/Da Ponte, Lorenzo (9849)";"Da Ponte, Lorenzo"
"9850";"/Persone/Dermota, Anton (9850)";"Dermota, Anton"
"9851";"/Persone/Stephanie, Johann Gottlob (9851)";"Stephanie, Johann Gottlob"
"9852";"/Persone/Coltellini, Marco (9852)";"Coltellini, Marco"
"9853";"/Persone/Varesco, Giambattista (9853)";"Varesco, Giambattista"
"9854";"/Persone/Cigna-Santi, Vittorio Amedeo (9854)";"Cigna-Santi, Vittorio Amedeo"
"9855";"/Persone/Vaughan, Denis (9855)";"Vaughan, Denis"
"9856";"/Persone/Schikaneder, Emanuel Johann Joseph (9856)";"Schikaneder, Emanuel Johann Joseph"
"9857";"/Persone/Brajnik, Miro (9857)";"Brajnik, Miro"
"9858";"/Persone/Bukovetz, Vilma (9858)";"Bukovetz, Vilma"
"9859";"/Persone/Gogol', Nicolaj Vasil'evi|c (9859)";"Gogol', Nicolaj Vasil'evi|c"
"9860";"/Persone/Liszt, Franz (9860)";"Liszt, Franz"
"9861";"/Persone/Lehár, Franz (9861)";"Lehár, Franz"
"9862";"/Persone/Carpani, Giuseppe (9862)";"Carpani, Giuseppe"
"9863";"/Persone/Hérold, Ferdinand (9863)";"Hérold, Ferdinand"
"9864";"/Persone/Crémieux, Hector-Jonathan (9864)";"Crémieux, Hector-Jonathan"
"9865";"/Persone/Halévy, Ludovic (9865)";"Halévy, Ludovic"
"9866";"/Persone/Tartini, Giuseppe (9866)";"Tartini, Giuseppe"
"9867";"/Persone/Hölderlin, Friedrich (9867)";"Hölderlin, Friedrich"
"9868";"/Persone/Mattiucci, Franca (9868)";"Mattiucci, Franca"
