performance_id,composition_title,start_date,end_date,year,date_text,first_location,first_building,related_compositions,source_id
32758,,2004-03-20,2004-03-20,2004.0,20-03-2004 - 20-03-2004,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),,object_id_6224
32759,,2004-05-03,2004-05-03,2004.0,03-05-2004 - 03-05-2004,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),,object_id_6226
32760,,2004-05-17,2004-05-17,2004.0,17-05-2004 - 17-05-2004,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),,object_id_6228
32761,,2004-05-22,2004-05-22,2004.0,22-05-2004 - 22-05-2004,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),,object_id_6230
32762,,2004-05-29,2004-05-29,2004.0,29-05-2004 - 29-05-2004,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),,object_id_6232
32763,,2004-06-14,2004-06-14,2004.0,14-06-2004 - 14-06-2004,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),,object_id_6234
32764,Billy Budd,2004-11-12,2004-11-21,2004.0,12-11-2004 - 21-11-2004,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),/Composizioni (52556)/Billy Budd (42132),object_id_6250
32765,,2004-12-16,2004-12-31,2004.0,16-12-2004 - 31-12-2004,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),,object_id_6256
32766,Don Giovanni ossia Il dissoluto punito,2005-01-25,2005-02-06,2005.0,25-01-2005 - 06-02-2005,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),/Composizioni (52556)/Don Giovanni ossia Il dissoluto punito (40194),object_id_6268
32767,"Trovatore, Il",2005-03-03,2005-03-16,2005.0,03-03-2005 - 16-03-2005,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),"/Composizioni (52556)/Trovatore, Il (40396)",object_id_6280
32768,"Amore dei tre re, L'",2005-04-12,2005-04-24,2005.0,12-04-2005 - 24-04-2005,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),"/Composizioni (52556)/Amore dei tre re, L' (40184)",object_id_6291
32769,Anna Bolena,2005-05-10,2005-05-10,2005.0,10-05-2005 - 10-05-2005,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),/Composizioni (52556)/Anna Bolena (40070),object_id_6297
32770,Werther,2005-06-15,2005-06-29,2005.0,15-06-2005 - 29-06-2005,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),/Composizioni (52556)/Werther (40169),object_id_6306
32771,Messa da Requiem,2005-07-07,2005-07-08,2005.0,07-07-2005 - 08-07-2005,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),/Composizioni (52556)/Messa da Requiem (42401),object_id_6316
32772,,2005-01-31,2005-01-31,2005.0,31-01-2005 - 31-01-2005,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),,object_id_6320
32773,,2005-02-11,2005-02-11,2005.0,11-02-2005 - 11-02-2005,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),,object_id_6322
32774,,2005-03-07,2005-03-07,2005.0,07-03-2005 - 07-03-2005,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),,object_id_6324
32775,,2005-03-22,2005-03-22,2005.0,22-03-2005 - 22-03-2005,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),,object_id_6326
32776,,2005-04-16,2005-04-16,2005.0,16-04-2005 - 16-04-2005,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),,object_id_6328
32777,,2005-05-16,2005-05-16,2005.0,16-05-2005 - 16-05-2005,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),,object_id_6330
32778,,2005-05-23,2005-05-23,2005.0,23-05-2005 - 23-05-2005,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),,object_id_6332
32779,"Histoire de Manon, L'",2005-11-08,2005-11-16,2005.0,08-11-2005 - 16-11-2005,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),"/Composizioni (52556)/Histoire de Manon, L' (42133)",object_id_6348
32780,"Turco in Italia, Il",2005-12-09,2005-12-18,2005.0,09-12-2005 - 18-12-2005,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),"/Composizioni (52556)/Turco in Italia, Il (40411)",object_id_6359
32781,"Bohème, La",2005-10-11,2005-10-15,2005.0,11-10-2005 - 15-10-2005,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),"/Composizioni (52556)/Bohème, La (40142)",object_id_6383
32782,"Tempesta, La",2006-02-13,2006-02-20,2006.0,13-02-2006 - 20-02-2006,/Luoghi/Torino (95280),/Edifici/Teatro Carignano (95331),"/Composizioni (52556)/Tempesta, La (42134)",object_id_6388
32783,"Colore bianco, Il",2006-02-16,2006-02-28,2006.0,16-02-2006 - 28-02-2006,/Luoghi/Torino (95280),/Edifici/Chapiteau nel Parco della Tesoriera (95340),"/Composizioni (52556)/Colore bianco, Il (42386)",object_id_6394
32784,Carmen,2006-03-14,2006-03-26,2006.0,14-03-2006 - 26-03-2006,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),/Composizioni (52556)/Carmen (40033),object_id_6406
32785,"Consul, The",2006-04-11,2006-04-23,2006.0,11-04-2006 - 23-04-2006,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),"/Composizioni (52556)/Consul, The (40172)",object_id_6418
32786,"Entführung aus dem Serail, Die",2006-05-05,2006-05-14,2006.0,05-05-2006 - 14-05-2006,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),"/Composizioni (52556)/Entführung aus dem Serail, Die (40195)",object_id_6424
32787,Don Carlo,2006-06-15,2006-07-02,2006.0,15-06-2006 - 02-07-2006,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),/Composizioni (52556)/Don Carlo (42056),object_id_6434
32788,,2005-12-23,2005-12-23,2005.0,23-12-2005 - 23-12-2005,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),,object_id_6445
32789,,2006-01-23,2006-01-23,2006.0,23-01-2006 - 23-01-2006,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),,object_id_6447
32790,,2006-01-30,2006-01-30,2006.0,30-01-2006 - 30-01-2006,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),,object_id_6449
32791,,2006-04-14,2006-04-14,2006.0,14-04-2006 - 14-04-2006,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),,object_id_6451
32792,,2006-05-08,2006-05-08,2006.0,08-05-2006 - 08-05-2006,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),,object_id_6453
32793,,2006-05-15,2006-05-15,2006.0,15-05-2006 - 15-05-2006,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),,object_id_6455
32794,Turandot,2006-10-10,2006-10-22,2006.0,10-10-2006 - 22-10-2006,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),/Composizioni (52556)/Turandot (40257),object_id_6458
32795,"Flauto magico, Il",2006-12-12,2006-12-24,2006.0,12-12-2006 - 24-12-2006,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),"/Composizioni (52556)/Flauto magico, Il (42138)",object_id_6482
32796,Rusalka,2007-01-24,2007-02-04,2007.0,24-01-2007 - 04-02-2007,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),/Composizioni (52556)/Rusalka (40094),object_id_6494
32797,Cavalleria rusticana,2007-03-02,2007-03-11,2007.0,02-03-2007 - 11-03-2007,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),/Composizioni (52556)/Cavalleria rusticana (40151),object_id_6503
32798,Tristan und Isolde,2007-04-11,2007-04-24,2007.0,11-04-2007 - 24-04-2007,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),/Composizioni (52556)/Tristan und Isolde (42123),object_id_6513
32799,"Elisir d’amore, L’",2007-05-16,2007-05-27,2007.0,16-05-2007 - 27-05-2007,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),"/Composizioni (52556)/Elisir d’amore, L’ (40077)",object_id_6522
32800,Ernani,2007-06-20,2007-07-03,2007.0,20-06-2007 - 03-07-2007,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),/Composizioni (52556)/Ernani (42150),object_id_6533
32801,"Nozze di Figaro, Le",2006-10-28,2006-11-25,2006.0,28-10-2006 - 25-11-2006,/Luoghi/Alessandria (95293),/Edifici/Teatro Comunale (95325),"/Composizioni (52556)/Nozze di Figaro, Le (40200)",object_id_6554
32802,,2006-12-31,2006-12-31,2006.0,31-12-2006 - 31-12-2006,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),,object_id_6565
32803,,2007-06-27,2007-06-27,2007.0,27-06-2007 - 27-06-2007,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),,object_id_6567
32804,,2007-01-29,2007-01-29,2007.0,29-01-2007 - 29-01-2007,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),,object_id_6570
32805,,2007-02-03,2007-02-03,2007.0,03-02-2007 - 03-02-2007,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),,object_id_6572
32806,,2007-03-05,2007-03-05,2007.0,05-03-2007 - 05-03-2007,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),,object_id_6574
32807,,2007-03-17,2007-03-17,2007.0,17-03-2007 - 17-03-2007,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),,object_id_6576
32808,,2007-04-28,2007-04-28,2007.0,28-04-2007 - 28-04-2007,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),,object_id_6578
32809,,2007-05-28,2007-05-28,2007.0,28-05-2007 - 28-05-2007,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),,object_id_6580
32810,"Barbiere di Siviglia, Il",2007-07-10,2007-07-25,2007.0,10-07-2007 - 25-07-2007,/Luoghi/Racconigi (95294),/Edifici/Serre Reali del Castello (95342),"/Composizioni (52556)/Barbiere di Siviglia, Il (40310)",object_id_6584
32811,,2007-09-24,2007-09-24,2007.0,24-09-2007 - 24-09-2007,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),,object_id_6593
32812,Ariane et Barbe-Bleue,2007-11-23,2007-12-01,2007.0,23-11-2007 - 01-12-2007,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),/Composizioni (52556)/Ariane et Barbe-Bleue (42152),object_id_6608
32813,"Corsaire, Le",2007-12-06,2007-12-09,2007.0,06-12-2007 - 09-12-2007,/Luoghi/Mosca (95296),/Edifici/Teatro Bol'soj (95343),"/Composizioni (52556)/Corsaire, Le (42153)",object_id_6614
32814,Don Chisciotte,2007-12-12,2007-12-16,2007.0,12-12-2007 - 16-12-2007,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),/Composizioni (52556)/Don Chisciotte (42154),object_id_6620
32815,Giselle,2007-12-19,2007-12-23,2007.0,19-12-2007 - 23-12-2007,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),/Composizioni (52556)/Giselle (42055),object_id_6627
32816,Rigoletto,2008-01-18,2008-02-03,2008.0,18-01-2008 - 03-02-2008,/Luoghi/Bologna (95295),/Edifici/Teatro Comunale (95325),/Composizioni (52556)/Rigoletto (42015),object_id_6634
32817,Lucrezia Borgia,2008-04-03,2008-04-16,2008.0,03-04-2008 - 16-04-2008,/Luoghi/Sassari (95297),,/Composizioni (52556)/Lucrezia Borgia (40084),object_id_6659
32818,"Clemenza di Tito, La",2008-05-16,2008-05-25,2008.0,16-05-2008 - 25-05-2008,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),"/Composizioni (52556)/Clemenza di Tito, La (40192)",object_id_6670
32819,Edgar,2008-06-25,2008-07-06,2008.0,25-06-2008 - 06-07-2008,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),/Composizioni (52556)/Edgar (40246),object_id_6679
32820,,2007-10-27,2007-10-27,2007.0,27-10-2007 - 27-10-2007,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),,object_id_6691
32821,,2007-11-19,2007-11-19,2007.0,19-11-2007 - 19-11-2007,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),,object_id_6693
32822,Carmina Burana,2007-12-29,2007-12-31,2007.0,29-12-2007 - 31-12-2007,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),/Composizioni (52556)/Carmina Burana (40222),object_id_6695
32823,,2008-01-28,2008-01-28,2008.0,28-01-2008 - 28-01-2008,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),,object_id_6699
32824,,2008-02-11,2008-02-11,2008.0,11-02-2008 - 11-02-2008,/Luoghi/Firenze (95283),/Edifici/Galleria dell'Accademia. Sala del David di Michelangelo (95344),,object_id_6701
32825,,2008-03-03,2008-03-03,2008.0,03-03-2008 - 03-03-2008,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),,object_id_6703
32826,,2008-04-07,2008-04-07,2008.0,07-04-2008 - 07-04-2008,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),,object_id_6705
32827,,2008-05-19,2008-05-19,2008.0,19-05-2008 - 19-05-2008,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),,object_id_6707
32828,,2007-11-09,2007-11-09,2007.0,09-11-2007 - 09-11-2007,/Luoghi/Köln (Germania) (95298),/Edifici/Kölner Philharmonie (95345),,object_id_6719
32829,,2008-11-30,2008-11-30,2008.0,30-11-2008 - 30-11-2008,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),,object_id_6732
32830,Medea,2008-10-05,2008-10-22,2008.0,05-10-2008 - 22-10-2008,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),/Composizioni (52556)/Medea (41251),object_id_6735
32831,,2008-11-05,2008-11-09,2008.0,05-11-2008 - 09-11-2008,/Luoghi/Granada (95300),,,object_id_6750
32832,,2008-12-10,2008-12-21,2008.0,10-12-2008 - 21-12-2008,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),,object_id_6757
32833,"Contes d'Hoffmann, Les",2009-01-30,2009-02-08,2009.0,30-01-2009 - 08-02-2009,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),"/Composizioni (52556)/Contes d'Hoffmann, Les (40217)",object_id_6767
32834,"Italiana in Algeri, L’",2009-03-04,2009-03-15,2009.0,04-03-2009 - 15-03-2009,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),"/Composizioni (52556)/Italiana in Algeri, L’ (40378)",object_id_6777
