performance_id,credit_type,person_id,person_name,role
33553,artistic,32122,Sonya Vartanyan,Costumista
33553,artistic,32121,Konstantin Binkin,Luci
33554,artistic,32105,Nina Ananiashvili,Coreografo
33554,artistic,32106,Alexei Fadeechev,Coreografo
33554,artistic,32107,David Popiashvili,Scenografo
33554,artistic,32108,Ana Kalatozishvili,Costumista
33554,artistic,32109,Virginio Levrio,Luci
33554,artistic,32110,Tatiana Rastorgueva,Assistente alla coreografia
33554,artistic,32111,Ekaterine Shavliashvili,Assistente alla coreografia
33555,artistic,9555,William Friedkin,Regista
33555,artistic,11448,Riccardo Fracchia,Ripresa della regia
33555,artistic,4054,Carlo Diappi,"Costumista,Scenografo"
33555,artistic,7511,Anna Maria Bruzzese,Coreografo
33555,artistic,7169,Andrea Anfossi,Luci
33555,artistic,31169,Antonio Stallone,Direttore dell'allestimento
33556,artistic,25426,Paolo Vettori,Regista
33556,artistic,10116,Claudia Boasso,Scenografo
33556,artistic,7860,Laura Viglione,Costumista
33556,artistic,32216,Gianni Bertoli,Luci
33556,artistic,31169,Antonio Stallone,Direttore dell'allestimento
33557,artistic,9140,Massimo Scaglione,Regista
33557,technical,9989,"Luigi Lupi, VI",Realizzazione
33557,technical,9990,"Gigi Lupi, VII",Realizzazione
33557,technical,9991,"Franco Lupi, VIII",Realizzazione
33557,technical,9992,Ottavio Marcelli,Realizzazione
33557,technical,9993,Ivo D’Ambrosio,Realizzazione
33557,technical,9994,Umberto Jacono,Realizzazione
33557,technical,9995,Daniela Trezzi,Realizzazione
33557,technical,9996,Carlo Cicconi,Realizzazione
33557,technical,9997,"Museo della marionetta, Torino",Attrezzeria
33558,artistic,5247,Filippo Crivelli,Regista
33558,artistic,7356,Ugo Dell’Ara,Coreografo
33558,artistic,8182,Carlo Savi,Scenografo
33558,artistic,3918,Pier Luigi Pizzi,Costumista
33558,technical,7781,"Teatro Massimo, Palermo",Realizzazione
33558,technical,8418,"Pedrazzoli, Milano",Calzature
