id;fullpath;published;dcTitle;dcDescription;from;to;datetext;Luogo rappresentazione;Enti collegati;Persone collegate;Recite collegate;Opere musicali collegate;luogo_rappresentazione;luogo_rappresentazione_id;edificio_rappresentazione;edificio_rappresentazione_id;enti_collegati_clean;enti_collegati_id;enti_collegati_ruolo;persone_collegate_clean;persone_collegate_id;persone_collegate_ruolo;recite_collegate_clean;recite_collegate_id;opere_collegate_clean;opere_collegate_id;enti_collegati;persone_collegate;recite_collegate;opere_collegate
55285;/Produzioni/Romanticismo (55285);1.0;Romanticismo;"Gad &quot;Voci Nuove&quot; di Milano (EN-)";;;;[];"[
    {
        'Identificativo': 30473,
        'Nome': 'Gad Voci Nuove di Milano',
        'Ruolo': 'produzione'
    },
    {
        'Identificativo': 30474,
        'Nome': 'Casa d'arte Fiore',
        'Ruolo': 'costumi'
    }
]";"[
    {
        'Identificativo': 20721,
        'Nome': 'Gabbari, Galeazzo',
        'Ruolo': ''
    },
    {
        'Identificativo': 20737,
        'Nome': 'Bray, Franco',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 59966,
        'Nome': 'Romanticismo',
        'Ruolo': ''
    }
]";[];;;;;;30473, 30474;produzione, costumi;;20721, 20737;, ;;59966;;;Gad Voci Nuove di Milano, Casa d'arte Fiore;Galeazzo Gabbari, Franco Bray;Romanticismo;
55286;/Produzioni/1959 Edipo Re (55286);1.0;Edipo Re;;1959-01-01;1959-01-31;1959;[];"[
    {
        'Identificativo': 30475,
        'Nome': 'Gad SADA Genova di Sestri',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 20756,
        'Nome': 'Ferrari, Cecilia',
        'Ruolo': ''
    },
    {
        'Identificativo': 20738,
        'Nome': 'Bobbio, Sandro',
        'Ruolo': ''
    },
    {
        'Identificativo': 20748,
        'Nome': 'Colombara, Augusto',
        'Ruolo': ''
    },
    {
        'Identificativo': 20749,
        'Nome': 'Gamberini, Leopoldo',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 59967,
        'Nome': 'Edipo re',
        'Ruolo': ''
    }
]";[];;;;;;30475;produzione;;20756, 20738, 20748, 20749;, , , ;;59967;;;Gad SADA Genova di Sestri;Cecilia Ferrari, Sandro Bobbio, Augusto Colombara, Leopoldo Gamberini;Edipo re;
55287;/Produzioni/1959 I diari (55287);1.0;I diari;;1959-01-01;1959-01-31;1959;[];"[
    {
        'Identificativo': 30476,
        'Nome': 'Gad Dopolavoro Aziendale - Cassa di Risparmio delle Province Lombarde',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 20757,
        'Nome': 'Barillà, Mario',
        'Ruolo': ''
    },
    {
        'Identificativo': 20763,
        'Nome': 'Pasqualigo, Enzo',
        'Ruolo': ''
    },
    {
        'Identificativo': 20451,
        'Nome': 'Sartoria Teatrale Bianchi',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 59968,
        'Nome': 'I diari',
        'Ruolo': ''
    }
]";[];;;;;;30476;produzione;;20757, 20763, 20451;, , ;;59968;;;Gad Dopolavoro Aziendale - Cassa di Risparmio delle Province Lombarde;Mario Barillà, Enzo Pasqualigo, Sartoria Teatrale Bianchi;I diari;
55288;/Produzioni/1959 Filumena Marturano (55288);1.0;Filumena Marturano;;1959-01-01;1959-01-31;1959;[];"[
    {
        'Identificativo': 30477,
        'Nome': 'Gad I Pochi di Alessandria',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 20767,
        'Nome': 'Dollfus, Ennio',
        'Ruolo': ''
    },
    {
        'Identificativo': 20748,
        'Nome': 'Colombara, Augusto',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 59969,
        'Nome': 'Filumena Marturano',
        'Ruolo': ''
    }
]";[];;;;;;30477;produzione;;20767, 20748;, ;;59969;;;Gad I Pochi di Alessandria;Ennio Dollfus, Augusto Colombara;Filumena Marturano;
55289;/Produzioni/1959 Incontro alla locanda (55289);1.0;Incontro alla locanda;;1959-01-01;1959-01-31;1959;[];"[
    {
        'Identificativo': 20473,
        'Nome': 'Gad Piccolo Teatro di Pesaro',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 20458,
        'Nome': 'Scherpiani, Ivo',
        'Ruolo': ''
    },
    {
        'Identificativo': 20472,
        'Nome': 'Masciolini Vadi, Rosetta',
        'Ruolo': ''
    },
    {
        'Identificativo': 20471,
        'Nome': 'Vadi, Carlo',
        'Ruolo': ''
    },
    {
        'Identificativo': 19109,
        'Nome': 'Zandonai, Riccardo',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 59970,
        'Nome': 'Incontro alla locanda',
        'Ruolo': ''
    }
]";[];;;;;;20473;produzione;;20458, 20472, 20471, 19109;, , , ;;59970;;;Gad Piccolo Teatro di Pesaro;Ivo Scherpiani, Rosetta Masciolini Vadi, Carlo Vadi, Riccardo Zandonai;Incontro alla locanda;
55290;/Produzioni/Sangue verde (55290);1.0;Sangue verde;"Gad Piccola Brigata L&#39;Aquila (EN-)";;;;[];"[
    {
        'Identificativo': 30461,
        'Nome': 'Gad Piccola Brigata L'Aquila',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 20410,
        'Nome': 'Quaranta, Aldo',
        'Ruolo': ''
    },
    {
        'Identificativo': 20412,
        'Nome': 'Santoro, Giuseppe',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 59971,
        'Nome': 'Sangue verde',
        'Ruolo': ''
    }
]";[];;;;;;30461;produzione;;20410, 20412;, ;;59971;;;Gad Piccola Brigata L'Aquila;Aldo Quaranta, Giuseppe Santoro;Sangue verde;
55291;/Produzioni/Matrimonio per concorso (55291);1.0;Matrimonio per concorso;"Gad &quot;Piccolo Teatro&quot; di Venezia (EN-)";;;;[];"[
    {
        'Identificativo': 30478,
        'Nome': 'Gad Piccolo Teatro di Venezia',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 20794,
        'Nome': 'Gazzotto, Alcide',
        'Ruolo': ''
    },
    {
        'Identificativo': 20816,
        'Nome': 'Orlandini, A.',
        'Ruolo': ''
    },
    {
        'Identificativo': 20817,
        'Nome': 'Ronchese, Mario',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 59972,
        'Nome': 'Matrimonio per concorso',
        'Ruolo': ''
    }
]";[];;;;;;30478;produzione;;20794, 20816, 20817;, , ;;59972;;;Gad Piccolo Teatro di Venezia;Alcide Gazzotto, A. Orlandini, Mario Ronchese;Matrimonio per concorso;
55292;/Produzioni/Processo a Gesù (55292);1.0;Processo a Gesù;"Gad Accademia Filodrammatica &quot;F. Campogalliani&quot; di Mantova (EN-)";;;;[];"[
    {
        'Identificativo': 20376,
        'Nome': 'Gad Accademia Filodrammatica F. Campogalliani di Mantova',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 20373,
        'Nome': 'Signoretti, Aldo',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 59973,
        'Nome': 'Processo a Gesù',
        'Ruolo': ''
    }
]";[];;;;;;20376;produzione;;20373;;;59973;;;Gad Accademia Filodrammatica F. Campogalliani di Mantova;Aldo Signoretti;Processo a Gesù;
55293;/Produzioni/Tre ettari di terra (55293);1.0;Tre ettari di terra;"Gad &quot;Talia&quot; di Milano (EN-)";;;;[];"[
    {
        'Identificativo': 30479,
        'Nome': 'Gad Talia di Milano',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 20435,
        'Nome': 'Bersa, Raoul',
        'Ruolo': ''
    },
    {
        'Identificativo': 20843,
        'Nome': 'Mercuri, Mariano',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 59974,
        'Nome': 'Tre ettari di terra',
        'Ruolo': ''
    }
]";[];;;;;;30479;produzione;;20435, 20843;, ;;59974;;;Gad Talia di Milano;Raoul Bersa, Mariano Mercuri;Tre ettari di terra;
55294;/Produzioni/1959 Ho condannato Gessica (55294);1.0;Ho condannato Gessica;;1959-01-01;1959-01-31;1959;[];"[
    {
        'Identificativo': 20855,
        'Nome': 'Gad Cassa di Risparmio di Milano',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 20854,
        'Nome': 'Villa, Gianfranco',
        'Ruolo': ''
    },
    {
        'Identificativo': 20763,
        'Nome': 'Pasqualigo, Enzo',
        'Ruolo': ''
    },
    {
        'Identificativo': 20762,
        'Nome': 'Stevani, Sandro',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 59975,
        'Nome': 'Ho condannato Gessica',
        'Ruolo': ''
    }
]";[];;;;;;20855;produzione;;20854, 20763, 20762;, , ;;59975;;;Gad Cassa di Risparmio di Milano;Gianfranco Villa, Enzo Pasqualigo, Sandro Stevani;Ho condannato Gessica;
55295;/Produzioni/Nina, no far la stupida!... (55295);1.0;Nina, no far la stupida!...;Piccolo Teatro di Venezia (EN-);;;;[];"[
    {
        'Identificativo': 20856,
        'Nome': 'Piccolo Teatro di Venezia',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 20794,
        'Nome': 'Gazzotto, Alcide',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 59976,
        'Nome': 'Nina, no far la stupida!...',
        'Ruolo': ''
    }
]";[];;;;;;20856;produzione;;20794;;;59976;;;Piccolo Teatro di Venezia;Alcide Gazzotto;Nina, no far la stupida!...;
55296;/Produzioni/Tacendo, mimando che male ti fò? (55296);1.0;Tacendo, mimando che male ti fò?;;;;;[];[];"[
    {
        'Identificativo': 13181,
        'Nome': 'Corti, Angelo',
        'Ruolo': ''
    },
    {
        'Identificativo': 14108,
        'Nome': 'Flach, Marise',
        'Ruolo': ''
    },
    {
        'Identificativo': 20873,
        'Nome': 'Perego, Maria',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 59977,
        'Nome': 'Tacendo, mimando che male ti fò?',
        'Ruolo': ''
    }
]";[];;;;;;;;;13181, 14108, 20873;, , ;;59977;;;;Angelo Corti, Marise Flach, Maria Perego;Tacendo, mimando che male ti fò?;
55297;/Produzioni/1959 Lohengrin (55297);1.0;Lohengrin;;1959-02-04;1959-02-04;1959;"[
    {
        'Id': 187,
        'nome': 'Reggio Emilia',
        'relazione': 'luogo della prima rappresentazione/esecuzione'
    },
    {
        'Id': 8713,
        'nome': 'Teatro Municipale',
        'relazione': 'edificio della prima rappresentazione/esecuzione'
    }
]";"[
    {
        'Identificativo': 29716,
        'Nome': 'I Teatri di Reggio Emilia',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 17479,
        'Nome': 'Messina, Domenico',
        'Ruolo': ''
    },
    {
        'Identificativo': 20878,
        'Nome': 'Colombo, Giuseppe',
        'Ruolo': ''
    },
    {
        'Identificativo': 16376,
        'Nome': 'Egri, Susanna',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 59978,
        'Nome': 'Lohengrin',
        'Ruolo': ''
    },
    {
        'Identificativo': 63310,
        'Nome': 'Lohengrin',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 69819,
        'Nome': 'Lohengrin, WWV 75',
        'Ruolo': ''
    }
]";Reggio Emilia;187;Teatro Municipale;8713;;29716;produzione;;17479, 20878, 16376;, , ;;59978, 63310;;69819;I Teatri di Reggio Emilia;Domenico Messina, Giuseppe Colombo, Susanna Egri;Lohengrin, Lohengrin;Lohengrin, WWV 75
55298;/Produzioni/1959 La Traviata (55298);1.0;La Traviata;;1959-02-07;1959-02-07;1959;"[
    {
        'Id': 187,
        'nome': 'Reggio Emilia',
        'relazione': 'luogo della prima rappresentazione/esecuzione'
    },
    {
        'Id': 8713,
        'nome': 'Teatro Municipale',
        'relazione': 'edificio della prima rappresentazione/esecuzione'
    }
]";"[
    {
        'Identificativo': 32571,
        'Nome': 'Teatro Municipale di Reggio Emilia',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 17479,
        'Nome': 'Messina, Domenico',
        'Ruolo': ''
    },
    {
        'Identificativo': 20878,
        'Nome': 'Colombo, Giuseppe',
        'Ruolo': ''
    },
    {
        'Identificativo': 16376,
        'Nome': 'Egri, Susanna',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 59979,
        'Nome': 'La traviata',
        'Ruolo': ''
    },
    {
        'Identificativo': 63311,
        'Nome': 'La traviata',
        'Ruolo': ''
    },
    {
        'Identificativo': 63312,
        'Nome': 'La traviata',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 69480,
        'Nome': 'La Traviata',
        'Ruolo': ''
    }
]";Reggio Emilia;187;Teatro Municipale;8713;;32571;produzione;;17479, 20878, 16376;, , ;;59979, 63311, 63312;;69480;Teatro Municipale di Reggio Emilia;Domenico Messina, Giuseppe Colombo, Susanna Egri;La traviata, La traviata, La traviata;La Traviata
55299;/Produzioni/1959 Lucia di Lammermoor (55299);1.0;Lucia di Lammermoor;;1959-02-12;1959-02-12;1959;"[
    {
        'Id': 187,
        'nome': 'Reggio Emilia',
        'relazione': 'luogo della prima rappresentazione/esecuzione'
    },
    {
        'Id': 8713,
        'nome': 'Teatro Municipale',
        'relazione': 'edificio della prima rappresentazione/esecuzione'
    }
]";"[
    {
        'Identificativo': 32571,
        'Nome': 'Teatro Municipale di Reggio Emilia',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 17479,
        'Nome': 'Messina, Domenico',
        'Ruolo': ''
    },
    {
        'Identificativo': 20878,
        'Nome': 'Colombo, Giuseppe',
        'Ruolo': ''
    },
    {
        'Identificativo': 16376,
        'Nome': 'Egri, Susanna',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 59980,
        'Nome': 'Lucia di Lammermoor',
        'Ruolo': ''
    },
    {
        'Identificativo': 63313,
        'Nome': 'Lucia di Lammermoor',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 69331,
        'Nome': 'Lucia di Lammermoor',
        'Ruolo': ''
    }
]";Reggio Emilia;187;Teatro Municipale;8713;;32571;produzione;;17479, 20878, 16376;, , ;;59980, 63313;;69331;Teatro Municipale di Reggio Emilia;Domenico Messina, Giuseppe Colombo, Susanna Egri;Lucia di Lammermoor, Lucia di Lammermoor;Lucia di Lammermoor
55300;/Produzioni/1959 I giganti della montagna (55300);1.0;I giganti della montagna;;1959-01-01;1959-01-31;1959;[];"[
    {
        'Identificativo': 30480,
        'Nome': 'Compagnia di prosa Gino Cervi',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 20903,
        'Nome': 'Salvini, Guido',
        'Ruolo': ''
    },
    {
        'Identificativo': 20905,
        'Nome': 'Di Collalto, Orlando',
        'Ruolo': ''
    },
    {
        'Identificativo': 20906,
        'Nome': 'Obolensky, Mady',
        'Ruolo': ''
    },
    {
        'Identificativo': 20907,
        'Nome': 'Lavagnino, A. Francesco',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 59981,
        'Nome': 'I giganti della montagna',
        'Ruolo': ''
    }
]";[];;;;;;30480;produzione;;20903, 20905, 20906, 20907;, , , ;;59981;;;Compagnia di prosa Gino Cervi;Guido Salvini, Orlando Di Collalto, Mady Obolensky, A. Francesco Lavagnino;I giganti della montagna;
55301;/Produzioni/Le allegre comari di Windsor (55301);1.0;Le allegre comari di Windsor;Compagnia di prosa Gino Cervi (EN-);;;;[];"[
    {
        'Identificativo': 30480,
        'Nome': 'Compagnia di prosa Gino Cervi',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 17252,
        'Nome': 'Nicolai, Bruno',
        'Ruolo': ''
    },
    {
        'Identificativo': 20919,
        'Nome': 'Tocchi, Gian Luca',
        'Ruolo': ''
    },
    {
        'Identificativo': 20532,
        'Nome': 'Cecchi, Emilio',
        'Ruolo': ''
    },
    {
        'Identificativo': 20920,
        'Nome': 'Cecchi D'amico, Suso',
        'Ruolo': ''
    },
    {
        'Identificativo': 20916,
        'Nome': 'Scharoff, Pietro',
        'Ruolo': ''
    },
    {
        'Identificativo': 20929,
        'Nome': 'Di Martino, Giuseppe',
        'Ruolo': ''
    },
    {
        'Identificativo': 24334,
        'Nome': 'Sloot, Pieter van der',
        'Ruolo': ''
    },
    {
        'Identificativo': 20917,
        'Nome': 'Colasanti, Veniero',
        'Ruolo': ''
    },
    {
        'Identificativo': 20918,
        'Nome': 'Moore, John',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 59982,
        'Nome': 'Le allegre comari di Windsor',
        'Ruolo': ''
    }
]";[];;;;;;30480;produzione;;17252, 20919, 20532, 20920, 20916, 20929, 24334, 20917, 20918;, , , , , , , , ;;59982;;;Compagnia di prosa Gino Cervi;Bruno Nicolai, Gian Luca Tocchi, Emilio Cecchi, Suso Cecchi D'amico, Pietro Scharoff, Giuseppe Di Martino, Pieter van der Sloot, Veniero Colasanti, John Moore;Le allegre comari di Windsor;
55302;/Produzioni/Requiem per una monaca (55302);1.0;Requiem per una monaca;"Ardenzi, Lucio (EN-); Compagnia di prosa Proclemer - Albertazzi (EN-)";;;;[];"[
    {
        'Identificativo': 30467,
        'Nome': 'Compagnia di prosa Proclemer-Albertazzi',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 20936,
        'Nome': 'Lucignani, Luciano',
        'Ruolo': ''
    },
    {
        'Identificativo': 20556,
        'Nome': 'Ardenzi, Lucio',
        'Ruolo': ''
    },
    {
        'Identificativo': 20625,
        'Nome': 'Costa Giovangigli, Orazio',
        'Ruolo': ''
    },
    {
        'Identificativo': 32840,
        'Nome': 'Fenoglio, Edmo',
        'Ruolo': ''
    },
    {
        'Identificativo': 20594,
        'Nome': 'Zuffi, Piero',
        'Ruolo': ''
    },
    {
        'Identificativo': 19282,
        'Nome': 'Vlad, Roman',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 59983,
        'Nome': 'Requiem per una monaca',
        'Ruolo': ''
    }
]";[];;;;;;30467;produzione;;20936, 20556, 20625, 32840, 20594, 19282;, , , , , ;;59983;;;Compagnia di prosa Proclemer-Albertazzi;Luciano Lucignani, Lucio Ardenzi, Orazio Costa Giovangigli, Edmo Fenoglio, Piero Zuffi, Roman Vlad;Requiem per una monaca;
55303;/Produzioni/1967 Il figliuol prodigo (55303);1.0;Il figliuol prodigo;;1967-01-01;1967-01-31;1967;[];[];"[
    {
        'Identificativo': 19833,
        'Nome': 'Piccoli, Fantasio',
        'Ruolo': ''
    },
    {
        'Identificativo': 20934,
        'Nome': 'Bonora, Maurizio',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 59984,
        'Nome': 'Il figliuol prodigo / Venere prigioniera: Il figliuol prodigo',
        'Ruolo': ''
    },
    {
        'Identificativo': 63340,
        'Nome': 'Il figliuol prodigo / Venere prigioniera: Il figliuol prodigo',
        'Ruolo': ''
    }
]";[];;;;;;;;;19833, 20934;, ;;59984, 63340;;;;Fantasio Piccoli, Maurizio Bonora;Il figliuol prodigo / Venere prigioniera: Il figliuol prodigo, Il figliuol prodigo / Venere prigioniera: Il figliuol prodigo;
55304;/Produzioni/1967 Venere prigioniera (55304);1.0;Venere prigioniera;;1967-01-01;1967-01-31;1967;[];[];"[
    {
        'Identificativo': 19833,
        'Nome': 'Piccoli, Fantasio',
        'Ruolo': ''
    },
    {
        'Identificativo': 20934,
        'Nome': 'Bonora, Maurizio',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 63338,
        'Nome': 'Il figliuol prodigo / Venere prigioniera: Venere prigioniera',
        'Ruolo': ''
    },
    {
        'Identificativo': 63339,
        'Nome': 'Il figliuol prodigo / Venere prigioniera: Venere prigioniera',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 71750,
        'Nome': 'Venere prigioniera',
        'Ruolo': ''
    }
]";;;;;;;;;19833, 20934;, ;;63338, 63339;;71750;;Fantasio Piccoli, Maurizio Bonora;Il figliuol prodigo / Venere prigioniera: Venere prigioniera, Il figliuol prodigo / Venere prigioniera: Venere prigioniera;Venere prigioniera
55305;/Produzioni/1959 D'amore si muore (55305);1.0;D'amore si muore;;1959-01-01;1959-01-31;1959;[];"[
    {
        'Identificativo': 30243,
        'Nome': 'Compagnia di prosa De Lullo-Falk-Albani-Valli',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 17482,
        'Nome': 'De Lullo, Giorgio',
        'Ruolo': ''
    },
    {
        'Identificativo': 10281,
        'Nome': 'Pizzi, Pier Luigi',
        'Ruolo': ''
    },
    {
        'Identificativo': 20939,
        'Nome': 'Luttazzi, Lelio',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 59985,
        'Nome': 'D'amore si muore',
        'Ruolo': ''
    }
]";[];;;;;;30243;produzione;;17482, 10281, 20939;, , ;;59985;;;Compagnia di prosa De Lullo-Falk-Albani-Valli;Giorgio De Lullo, Pier Luigi Pizzi, Lelio Luttazzi;D'amore si muore;
55306;/Produzioni/1959 Il buio in cima alle scale (55306);1.0;Il buio in cima alle scale;;1959-01-01;1959-01-31;1959;[];"[
    {
        'Identificativo': 30243,
        'Nome': 'Compagnia di prosa De Lullo-Falk-Albani-Valli',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 20942,
        'Nome': 'Danesi, Lea',
        'Ruolo': ''
    },
    {
        'Identificativo': 20943,
        'Nome': 'Brunacci, Giorgio',
        'Ruolo': ''
    },
    {
        'Identificativo': 17482,
        'Nome': 'De Lullo, Giorgio',
        'Ruolo': ''
    },
    {
        'Identificativo': 10281,
        'Nome': 'Pizzi, Pier Luigi',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 59986,
        'Nome': 'Il buio in cima alle scale',
        'Ruolo': ''
    }
]";[];;;;;;30243;produzione;;20942, 20943, 17482, 10281;, , , ;;59986;;;Compagnia di prosa De Lullo-Falk-Albani-Valli;Lea Danesi, Giorgio Brunacci, Giorgio De Lullo, Pier Luigi Pizzi;Il buio in cima alle scale;
55307;/Produzioni/1959 Gli spettri (55307);1.0;Gli spettri;;1959-01-01;1959-01-31;1959;[];"[
    {
        'Identificativo': 30467,
        'Nome': 'Compagnia di prosa Proclemer-Albertazzi',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 20944,
        'Nome': 'Zoja, N.',
        'Ruolo': ''
    },
    {
        'Identificativo': 15841,
        'Nome': 'Ferrero, Mario',
        'Ruolo': ''
    },
    {
        'Identificativo': 10022,
        'Nome': 'Frigerio, Ezio',
        'Ruolo': ''
    },
    {
        'Identificativo': 20556,
        'Nome': 'Ardenzi, Lucio',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 59987,
        'Nome': 'Gli spettri',
        'Ruolo': ''
    }
]";[];;;;;;30467;produzione;;20944, 15841, 10022, 20556;, , , ;;59987;;;Compagnia di prosa Proclemer-Albertazzi;N. Zoja, Mario Ferrero, Ezio Frigerio, Lucio Ardenzi;Gli spettri;
55308;/Produzioni/Mercadet L'affarista (55308);1.0;Mercadet L'affarista;"Piccolo Teatro di Milano (EN-); Strehler, Giorgio (EN-); Grassi, Paolo (EN-)";;;;[];"[
    {
        'Identificativo': 29788,
        'Nome': 'Piccolo Teatro di Milano/Teatro d'Europa',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 20624,
        'Nome': 'Terron, Carlo',
        'Ruolo': ''
    },
    {
        'Identificativo': 10020,
        'Nome': 'Strehler, Giorgio',
        'Ruolo': ''
    },
    {
        'Identificativo': 20951,
        'Nome': 'Grassi, Paolo',
        'Ruolo': ''
    },
    {
        'Identificativo': 18412,
        'Nome': 'Puecher, Virginio',
        'Ruolo': ''
    },
    {
        'Identificativo': 20950,
        'Nome': 'Tofano, Gilberto',
        'Ruolo': ''
    },
    {
        'Identificativo': 10022,
        'Nome': 'Frigerio, Ezio',
        'Ruolo': ''
    },
    {
        'Identificativo': 10404,
        'Nome': 'Damiani, Luciano',
        'Ruolo': ''
    },
    {
        'Identificativo': 11270,
        'Nome': 'Carpi, Fiorenzo',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 59988,
        'Nome': 'Mercadet L'affarista',
        'Ruolo': ''
    }
]";[];;;;;;29788;produzione;;20624, 10020, 20951, 18412, 20950, 10022, 10404, 11270;, , , , , , , ;;59988;;;Piccolo Teatro di Milano/Teatro d'Europa;Carlo Terron, Giorgio Strehler, Paolo Grassi, Virginio Puecher, Gilberto Tofano, Ezio Frigerio, Luciano Damiani, Fiorenzo Carpi;Mercadet L'affarista;
55309;/Produzioni/1958 La forza del destino (55309);1.0;La forza del destino;;1958-02-20;1958-02-20;1958;"[
    {
        'Id': 187,
        'nome': 'Reggio Emilia',
        'relazione': 'luogo della prima rappresentazione/esecuzione'
    },
    {
        'Id': 8713,
        'nome': 'Teatro Municipale',
        'relazione': 'edificio della prima rappresentazione/esecuzione'
    }
]";"[
    {
        'Identificativo': 32571,
        'Nome': 'Teatro Municipale di Reggio Emilia',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 19324,
        'Nome': 'Bolchi, Sandro',
        'Ruolo': ''
    },
    {
        'Identificativo': 20957,
        'Nome': 'Irinova, Nora',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 59989,
        'Nome': 'La forza del destino',
        'Ruolo': ''
    },
    {
        'Identificativo': 59990,
        'Nome': 'La forza del destino',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 69630,
        'Nome': 'La forza del destino',
        'Ruolo': ''
    }
]";Reggio Emilia;187;Teatro Municipale;8713;;32571;produzione;;19324, 20957;, ;;59989, 59990;;69630;Teatro Municipale di Reggio Emilia;Sandro Bolchi, Nora Irinova;La forza del destino, La forza del destino;La forza del destino
55310;/Produzioni/1958 Tristano e Isotta (55310);1.0;Tristano e Isotta;;1958-02-25;1958-02-25;1958;"[
    {
        'Id': 187,
        'nome': 'Reggio Emilia',
        'relazione': 'luogo della prima rappresentazione/esecuzione'
    },
    {
        'Id': 8713,
        'nome': 'Teatro Municipale',
        'relazione': 'edificio della prima rappresentazione/esecuzione'
    }
]";"[
    {
        'Identificativo': 32571,
        'Nome': 'Teatro Municipale di Reggio Emilia',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 19324,
        'Nome': 'Bolchi, Sandro',
        'Ruolo': ''
    },
    {
        'Identificativo': 20957,
        'Nome': 'Irinova, Nora',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 59991,
        'Nome': 'Tristano e Isotta',
        'Ruolo': ''
    },
    {
        'Identificativo': 59992,
        'Nome': 'Tristano e Isotta',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 71076,
        'Nome': 'Tristan und Isolde, WWV 90',
        'Ruolo': ''
    }
]";Reggio Emilia;187;Teatro Municipale;8713;;32571;produzione;;19324, 20957;, ;;59991, 59992;;71076;Teatro Municipale di Reggio Emilia;Sandro Bolchi, Nora Irinova;Tristano e Isotta, Tristano e Isotta;Tristan und Isolde, WWV 90
