"id";"recite_collegate";"fullpath";"published"
"53813";"/Recite/13-03-1994 Parade - La voix humaine: La voix humaine (63258),/Recite/15-03-1994 Parade - La voix humaine: La voix humaine (63259)";"/Produzioni/1994 La voix humaine (53813)";"1"
"53814";"/Recite/04-04-1994 Tosca (57298),/Recite/06-04-1994 Tosca (57300),/Recite/08-04-1994 Tosca (57301),/Recite/10-04-1994 Tosca (57302)";"/Produzioni/1994 Tosca (53814)";"1"
"53815";"/Recite/09-05-1994 L'amico Fritz (57310),/Recite/08-05-1994 L'amico Fritz (57309),/Recite/06-05-1994 L'amico Fritz (57306)";"/Produzioni/1994 L'amico Fritz (53815)";"1"
"53816";"/Recite/17-05-1994 Porgy and Bess (57315),/Recite/18-05-1994 Porgy and Bess (58023)";"/Produzioni/1994 Porgy and Bess (53816)";"1"
"53817";"/Recite/03-03-1992 Macbeth (57314),/Recite/05-03-1992 Macbeth (57771),/Recite/08-03-1992 Macbeth (57772)";"/Produzioni/1992 Macbeth (53817)";"1"
"53818";"/Recite/15-01-1993 Amor rende sagace (57316),/Recite/17-01-1993 Amor rende sagace (57317)";"/Produzioni/1993 Amor rende sagace (53818)";"1"
"53819";"/Recite/19-03-1993 La scala di seta (57319),/Recite/17-03-1993 La scala di seta (57318),/Recite/21-03-1993 La scala di seta (57320)";"/Produzioni/1993 La scala di seta (53819)";"1"
"53820";"/Recite/08-04-1993 La sonnambula (57322),/Recite/10-04-1993 La sonnambula (57325)";"/Produzioni/1993 La sonnambula (53820)";"1"
"53821";"/Recite/25-04-1993 La bohème (57326),/Recite/27-04-1993 La bohème (57327),/Recite/29-04-1993 La bohème (57328),/Recite/01-05-1993 La bohème (57329)";"/Produzioni/1993 La bohème (53821)";"1"
"53822";"/Recite/08-09-1992 Otello (57321),/Recite/11-09-1992 Otello (57323),/Recite/13-09-1992 Otello (57324)";"/Produzioni/1992 Otello (53822)";"1"
"53823";"/Recite/29-11-1988 Turandot (57739),/Recite/02-12-1988 Turandot (57740),/Recite/04-12-1988 Turandot (57741)";"/Produzioni/1988 Turandot (53823)";"1"
"53824";"/Recite/17-01-1989 Le maschere (57742),/Recite/19-01-1989 Le maschere (57743)";"/Produzioni/1988 Le maschere (53824)";"1"
"53825";"/Recite/26-01-1989 Un ballo in maschera (57744),/Recite/28-01-1989 Un ballo in maschera (57745),/Recite/30-01-1989 Un ballo in maschera (57746)";"/Produzioni/1989 Un ballo in maschera (53825)";"1"
"53826";"/Recite/04-02-1989 Albert Herring (57747),/Recite/05-02-1989 Albert Herring (57748)";"/Produzioni/1989 Albert Herring (53826)";"1"
"53827";"/Recite/23-04-1989 Wozzeck (57750),/Recite/21-04-1989 Wozzeck (57749)";"/Produzioni/1989 Wozzeck (53827)";"1"
"53828";"/Recite/14-05-1989 La figlia del reggimento (57752),/Recite/12-05-1989 La figlia del reggimento (57751)";"/Produzioni/1989 La figlia del reggimento (53828)";"1"
"53829";"/Recite/28-10-1999 Compagnie Edna.
Herses (une lente introduction) (57345)";"/Produzioni/1999 Herses (une lente introduction) (53829)";"1"
"53830";"/Recite/27-10-1997 Morte di un commesso viaggiatore (57389),/Recite/28-10-1997 Morte di un commesso viaggiatore (57390),/Recite/29-10-1997 Morte di un commesso viaggiatore (57391)";"/Produzioni/1997 Morte di un commesso viaggiatore (53830)";"1"
"53831";"/Recite/06-11-1997 L'Histoire du soldat (57392),/Recite/07-11-1997 L'Histoire du soldat (57393),/Recite/08-11-1997 L'Histoire du soldat (57394),/Recite/09-11-1997 L'Histoire du soldat (57395)";"/Produzioni/1997 L'Histoire du soldat (53831)";"1"
"53832";"/Recite/20-11-1997 Art (57396),/Recite/21-11-1997 Art (57397),/Recite/22-11-1997 Art (57398),/Recite/23-11-1997 Art (57399),/Recite/23-11-1997 Art (57400)";"/Produzioni/1997 Art (53832)";"1"
"53833";"/Recite/02-12-1997 Medea (57401),/Recite/03-12-1997 Medea (57402),/Recite/04-12-1997 Medea (57403)";"/Produzioni/1996 Medea (53833)";"1"
"53834";"/Recite/11-12-1997 La tempesta (57404),/Recite/12-12-1997 La tempesta (57405),/Recite/13-12-1997 La tempesta (57406),/Recite/14-12-1997 La tempesta (57407),/Recite/14-12-1997 La tempesta (57408)";"/Produzioni/1997 La tempesta (53834)";"1"
"53835";"/Recite/19-12-1997 La serra (57409),/Recite/20-12-1997 La serra (57410),/Recite/21-12-1997 La serra (57411)";"/Produzioni/1997 La serra (53835)";"1"
"53836";"/Recite/18-01-1998 Woyzeck (57413),/Recite/17-01-1998 Woyzeck (57412)";"/Produzioni/1997 Woyzeck (53836)";"1"
"53837";"/Recite/22-01-1998 Cantando sotto la pioggia (57418),/Recite/23-01-1998 Cantando sotto la pioggia (57421),/Recite/24-01-1998 Cantando sotto la pioggia (57419),/Recite/25-01-1998 Cantando sotto la pioggia (57420)";"/Produzioni/1996 Cantando sotto la pioggia (53837)";"1"
"53838";"/Recite/05-02-1998 La bottega del caffé (57414),/Recite/06-02-1998 La bottega del caffé (57415),/Recite/07-02-1998 La bottega del caffé (57416),/Recite/08-02-1998 La bottega del caffé (57417)";"/Produzioni/1998 La bottega del caffè (53838)";"1"
"53839";"/Recite/19-02-1998 Caligola (57422),/Recite/20-02-1998 Caligola (57423),/Recite/21-02-1998 Caligola (57424)";"/Produzioni/1997 Caligola (53839)";"1"
"53840";"/Recite/04-03-1998 I viaggi di Gulliver (57425),/Recite/05-03-1998 I viaggi di Gulliver (57426),/Recite/06-03-1998 I viaggi di Gulliver (57427),/Recite/07-03-1998 I viaggi di Gulliver (57428),/Recite/08-03-1998 I viaggi di Gulliver (57429)";"/Produzioni/1996 I viaggi di Gulliver (53840)";"1"
"53841";"/Recite/17-03-1998 Zozós (57430),/Recite/18-03-1998 Zozós (57431),/Recite/19-03-1998 Zozós (57432)";"/Produzioni/Zozós (53841)";"1"
"53842";"/Recite/07-04-1998 Un'idiozia conquistata a fatica (57433),/Recite/08-04-1998 Un'idiozia conquistata a fatica (57434),/Recite/09-04-1998 Un'idiozia conquistata a fatica (57435)";"/Produzioni/Un'idiozia conquistata a fatica (53842)";"1"
"53844";"/Recite/10-10-1996 Zio Vanja (57436),/Recite/11-10-1996 Zio Vanja (57437),/Recite/12-10-1996 Zio Vanja (57438),/Recite/13-10-1996 Zio Vanja (57439)";"/Produzioni/1996 Zio Vanja (53844)";"1"
"53845";"/Recite/24-10-1996 Come vi piace (57440),/Recite/25-10-1996 Come vi piace (57441),/Recite/26-10-1996 Come vi piace (57442),/Recite/27-10-1996 Come vi piace (57443)";"/Produzioni/1994 Come vi piace (53845)";"1"
"53846";"/Recite/08-11-1996 La rosa tatuata (57444),/Recite/09-11-1996 La rosa tatuata (58073),/Recite/10-11-1996 La rosa tatuata (58074)";"/Produzioni/1996 La rosa tatuata (53846)";"1"
"53847";"/Recite/22-11-1996 Ritorno a casa Gori (57445),/Recite/23-11-1996 Ritorno a casa Gori (57446),/Recite/24-11-1996 Ritorno a casa Gori (57447),/Recite/24-11-1996 Ritorno a casa Gori (57448)";"/Produzioni/1996 Ritorno a casa Gori (53847)";"1"
"53848";"/Recite/02-12-1996 Uomo e galantuomo (57449),/Recite/03-12-1996 Uomo e galantuomo (57450),/Recite/04-12-1996 Uomo e galantuomo (57451)";"/Produzioni/1996 Uomo e galantuomo (53848)";"1"
"53849";"/Recite/11-12-1996 Rabelais (57456),/Recite/12-12-1996 Rabelais (57457),/Recite/13-12-1996 Rabelais (57458)";"/Produzioni/1996 Rabelais (53849)";"1"
"53850";"/Recite/18-01-1997 Un patriota per me (57452),/Recite/19-01-1997 Un patriota per me (57453),/Recite/20-01-1997 Un patriota per me (57454),/Recite/21-01-1997 Un patriota per me (57455)";"/Produzioni/1997 Un patriota per me (53850)";"1"
"53851";"/Recite/06-02-1997 Il prigioniero della Seconda Strada (57459),/Recite/07-02-1997 Il prigioniero della Seconda Strada (57460),/Recite/08-02-1997 Il prigioniero della Seconda Strada (57461),/Recite/09-02-1997 Il prigioniero della Seconda Strada (57462),/Recite/09-02-1997 Il prigioniero della Seconda Strada (57463)";"/Produzioni/1996 Il prigioniero della Seconda Strada (53851)";"1"
"53852";"/Recite/14-02-1997 Antigone (57464),/Recite/15-02-1997 Antigone (57465),/Recite/16-02-1997 Antigone (57466)";"/Produzioni/1997 Antigone (53852)";"1"
